Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.2,0.15,0,0,0,0,0
Operating Expenses,0.2,0.15,0,0,0,0,0
Operating Income,-0.2,-0.15,0,0,0,0,-0
Other Expense / Income,-0.64,-0.12,-,-,-,-,-
Pretax Income,0.44,-0.03,0,0,0,0,-0
Net Income,0.44,-0.03,0,0,0,0,-0
Shares Outstanding (Basic),5,6,2,2,2,2,2
Shares Outstanding (Diluted),5,6,2,2,2,2,2
Shares Change,165.04%,230.56%,-,-,-,-,-
EPS (Basic),-0.07,-0.01,-,-,-,-,-
EPS (Diluted),-0.07,-0.01,-,-,-,-,-
Free Cash Flow Per Share,-0.02,-0.02,-,-,0.07,-0.07,-
EBITDA,0.44,-0.03,0,0,0,0,-0
EBIT,0.44,-0.03,0,0,0,0,-0
