Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",0.67,0.17,0,-,0,0,0
Other Operating Expenses,0.01,0.05,-0.01,0,0.01,0,0
Operating Expenses,0.68,0.21,-0.01,-,0.01,0,0
Operating Income,-0.68,-0.21,0.01,-,-0.01,-0,-0
Other Expense / Income,-0.57,-0.44,-,-,-,-,-
Pretax Income,-0.11,0.22,0.01,-,-0.01,-0,-0
Income Tax,0.12,0.08,0,-,0,0,0
Net Income,-0.22,0.14,0.01,-,-0.01,-0,-0
Shares Outstanding (Basic),7,3,1,1,1,1,1
Shares Outstanding (Diluted),7,3,1,-,1,1,1
Shares Change,454.85%,113.62%,-,-,-,-,-
EPS (Basic),-0.58,-1.23,-,-,-,-,-
EPS (Diluted),-0.58,-1.23,-,-,-,-,-
Free Cash Flow Per Share,-0.04,-0.13,0.02,-,-0.03,-,-
Effective Tax Rate,-,36.67%,-,-,-,-,-
EBITDA,-0.11,0.22,0.01,-,-0.01,-0,-
EBIT,-0.11,0.22,0.01,-,-0.01,-0,-0
