Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.43,0.32,0.39,0.39,0.51,0.04,0.05
Operating Expenses,0.43,0.32,0.39,0.39,0.51,0.04,0.05
Operating Income,-0.43,-0.32,-0.39,-0.39,-0.51,-0.04,-0.05
Other Expense / Income,-4.3,-1.27,-1.75,-8.65,-12.28,-,-
Pretax Income,3.87,0.94,1.36,8.26,11.77,-0.04,-0.05
Income Tax,0.15,0.02,0.45,0,0,0,0
Net Income,3.72,0.92,0.91,8.26,11.77,-0.04,-0.05
Net Income Growth,-68.42%,-,-,-,-,-,-
Shares Outstanding (Basic),29,29,29,29,10,5,5
Shares Outstanding (Diluted),29,29,29,29,10,5,5
Shares Change,189.66%,475.00%,475.00%,-,-,-,-
EPS (Basic),0.13,0.03,0.03,0.29,1.20,-0.01,-0.01
EPS (Diluted),0.13,0.03,0.03,0.29,1.20,-0.01,-0.01
EPS Growth,-89.17%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.02,-0.10,0.00,-0.02
Effective Tax Rate,3.99%,2.43%,33.26%,-,-,-,-
EBITDA,3.87,0.94,1.36,8.26,11.77,-0.04,-0.05
EBIT,3.87,0.94,1.36,8.26,11.77,-0.04,-0.05
