Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
Revenue,18.04,19.24,19.4,17.4,16.9,17.47,17.43,16.75,15.62,14.74,14.05,12.88,11.99,11.21,11.84,11.09,10.7,10.91,10.65,10.89,10.68,11.15,11.1,10,9.73,10.01,9.71,10.19,10.11,10.26,9.65,9.49,9.27
Revenue Growth (YoY),6.72%,10.17%,11.33%,3.86%,8.21%,18.53%,24.03%,30.12%,30.23%,31.51%,18.66%,16.07%,12.13%,2.73%,11.20%,1.82%,0.14%,-2.14%,-4.02%,8.98%,9.80%,11.39%,14.22%,-1.93%,-3.79%,-2.48%,0.66%,7.41%,9.07%,-,-,-,-
Cost of Revenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,1.69,1.71,1.74
Gross Profit,18.04,19.24,19.4,17.4,16.9,17.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.56,7.96,7.78,7.53
Selling & Marketing,0.11,0.11,0.14,0.12,0.12,0.04,0.06,0.06,0.05,0.06,0.08,0.07,0.09,0.1,0.12,0.09,0.07,0.13,0.13,0.1,0.06,0.06,0.09,0.07,0.05,0.03,0.05,0.09,0.06,0,0,0,0
General & Administrative,5.59,5.43,5.69,5.18,5.17,5.84,5.52,5.54,5.16,4.9,4.94,5.38,5.09,4.45,4.79,4.55,4.41,4.31,4.2,4.36,4.37,3.64,3.94,4.08,4.13,3.9,4.07,4.32,3.98,6.59,5.64,5.86,5.88
Other Operating Expenses,0,17.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Operating Expenses,0.58,2.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.29,7.33,7.57,7.62
Operating Income,11.95,11.58,10.47,9.14,8.86,9.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,4.02,3.63,3.38
Interest Income,20.61,20.46,19.09,17.46,17.08,17.41,17.66,17.42,16.79,15.85,15.49,15.3,15.04,15.19,15.25,15,14.28,14.19,14.13,13.46,12.59,12.79,12.23,11.63,11.32,11.38,11.26,11.45,11.35,0,0,0,0
