Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-10-23
"Selling, General & Admin",1.08,0.69,0.57,0.69,1.12,1.65,0.39,0.24,0.01,0
Operating Expenses,1.08,0.69,0.57,0.69,1.12,1.65,0.39,0.24,0.01,0
Operating Income,-1.08,-0.69,-0.57,-0.69,-1.12,-1.65,-0.39,-0.24,-0.01,-0
Other Expense / Income,-1.78,-2.06,-8.73,-2.05,2.79,-0.72,2.22,-1.98,-,-
Pretax Income,0.7,1.36,8.16,1.36,-3.91,-0.92,-2.61,1.74,-0.01,-0
Income Tax,0.43,0.09,0.02,0,0,0,0,0,0,0
Net Income,0.28,1.27,8.14,1.36,-3.91,-0.92,-2.61,1.74,-0.01,-0
Net Income Growth,-,-,-,-22.12%,-,-,-,-,-,-
Shares Outstanding (Basic),25,25,25,25,25,25,25,16,4,4
Shares Outstanding (Diluted),25,25,25,25,25,25,25,16,4,4
Shares Change,-0.10%,-,-,58.89%,475.58%,570.83%,-,-,-,-
EPS (Basic),0.01,0.05,0.32,0.05,-0.17,-0.04,-0.10,0.11,-,-
EPS (Diluted),0.01,0.05,0.32,0.05,-0.17,-0.04,-0.10,0.11,-,-
EPS Growth,-,-,-,-54.55%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.01,-0.01,-0.00,-0.01,-0.04,-0.01,-
Effective Tax Rate,60.60%,6.85%,0.21%,-,-,-,-,-,-,-
EBITDA,0.7,1.36,8.16,1.36,-3.91,-0.92,-2.61,1.74,-0.01,-0
EBIT,0.7,1.36,8.16,1.36,-3.91,-0.92,-2.61,1.74,-0.01,-0
