Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30
Revenue,64.86,67.94,67.14,59.9,50.66,51.37,46.19,41.25,38.07,35.05,34.82,34.05,28.52,28.6,26.75,23.66,25,20.31,20.82,18.77,20.35,18.32,15,11.55,11.46,5.66,10.95
Revenue Growth (YoY),28.04%,32.26%,45.34%,45.20%,33.08%,46.57%,32.65%,21.16%,33.48%,22.52%,30.19%,43.90%,14.07%,40.86%,28.50%,26.03%,22.85%,10.85%,38.80%,62.56%,77.64%,223.94%,36.98%,-,-,-,-
Gross Profit,64.86,67.94,67.14,59.9,50.66,51.37,46.19,41.25,38.07,35.05,34.82,34.05,28.52,28.6,26.75,23.66,25,20.31,20.82,18.77,20.35,18.32,15,11.55,11.46,5.66,10.95
"Selling, General & Admin",16.26,15.89,14.57,13.42,13.42,12,11.27,11.21,11.43,9.84,9.94,10.06,9.96,7.96,7.88,7.92,7.49,6.96,6.25,6.13,6.32,5.48,4.85,4.44,4.75,3.69,5.82
Other Operating Expenses,14.77,50.77,16.62,12.85,11.2,11.32,10.72,10.48,8.9,7.96,8.99,8.23,9.56,9.09,7.62,6.8,5.2,4.64,4.1,4.15,4.92,4.3,3.74,2.7,2.48,2.35,2.6
Operating Expenses,31.03,66.66,31.19,26.27,24.62,23.32,21.98,21.69,20.32,17.79,18.93,18.28,19.52,17.04,15.5,14.72,12.69,11.6,10.36,10.28,11.24,9.78,8.59,7.14,7.23,6.04,8.43
Operating Income,33.84,1.28,35.95,33.63,26.04,28.05,24.21,19.57,17.74,17.26,15.89,15.76,9,11.56,11.25,8.94,12.31,8.7,10.46,8.5,9.11,8.54,6.41,4.41,4.22,-0.38,2.52
Pretax Income,33.84,1.28,35.95,33.63,26.04,28.05,24.21,19.57,17.74,17.26,15.89,15.76,9,11.56,11.25,8.94,12.31,8.7,10.46,8.5,9.11,8.54,6.41,4.41,4.22,-0.38,2.52
Income Tax,8.76,9.02,10.99,10.44,7.02,9.16,7.99,6.23,5.63,5.48,5.11,4.95,2.91,3.7,3.57,2.88,3.78,2.42,3.35,2.63,2.82,5.22,2.56,1.76,1.67,-0.43,1.07
Net Income,25.08,-7.74,24.96,23.19,19.02,18.89,16.22,13.34,12.12,11.78,10.78,10.81,6.1,7.86,7.68,6.06,8.53,6.29,7.11,5.87,6.29,3.33,3.85,2.65,2.55,0.05,1.45
