Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31
Revenue,258.41,351.79,248.22,299.48,976.33,315.08,218.62,734.98,388.07,348.45,235.01,248.69,258.26,283.59,199.9,251.57,179.12,-
Revenue Growth (YoY),-73.53%,11.65%,13.54%,-59.25%,151.58%,-9.58%,-6.97%,195.54%,50.26%,22.87%,17.56%,-1.14%,44.18%,-,-,-,-,-
Cost of Revenue,162.21,248.69,173.71,149.68,747.86,233.04,152.39,557.47,291.87,235.31,140.47,148.72,160.44,189.81,126.78,154.35,114.48,-
Gross Profit,96.2,103.1,74.51,149.81,228.47,82.04,66.23,177.51,96.21,113.14,94.54,99.98,97.83,93.79,73.11,97.23,64.64,-
"Selling, General & Admin",80.43,99.51,94.27,112.18,168.34,130.57,118.25,131.04,108.78,88.33,91.59,91.94,96.35,70.85,112.01,47.27,49.42,-
Research & Development,16.89,16.36,24.31,23.34,46.07,29.83,25.74,18.83,15.84,11.48,10.63,11.19,11.83,8.1,7.49,6.41,7.33,-
Operating Expenses,97.32,115.87,118.58,135.52,214.41,160.4,143.99,149.87,124.62,99.81,102.22,103.13,108.17,78.95,119.5,53.69,56.75,-
Operating Income,-1.12,-12.78,-44.07,14.29,14.07,-78.36,-77.76,27.64,-28.41,13.33,-7.68,-3.15,-10.35,14.83,-46.39,43.54,7.89,-
Interest Expense / Income,-4.47,1.92,1.29,0,-1.64,0.76,0.66,0,-0.81,0.19,0.21,0.41,-0.08,0,0.12,0.14,0,-
Other Expense / Income,-4.82,-4.16,-5.98,3.73,-4.2,-0.21,0.29,-2.41,0.21,-3.35,-4.89,-1.35,-2.41,-1.53,-5.92,-3.66,11.74,-
Pretax Income,8.17,-10.54,-39.38,10.56,19.9,-78.91,-78.71,30.05,-27.81,16.49,-3,-2.21,-7.86,16.36,-40.59,47.05,-3.85,-
Income Tax,0,0,0,0,0,0,-1.53,1.53,-0.85,1.79,0.73,0.09,-0.32,0.23,0.11,0.03,0.29,-
Net Income,8.17,-10.54,-39.38,10.56,19.9,-78.91,-77.18,28.52,-26.96,14.69,-3.73,-2.3,-7.55,16.13,-40.7,47.02,-4.13,-
Preferred Dividends,0,0,0,0,0,0,0,0,6.4,0,0,3.2,6.15,15.85,-13.13,31.42,5.57,-
Net Income Common,8.17,-10.54,-39.38,10.56,19.9,-78.91,-77.18,28.52,-26.96,14.69,-3.73,-5.5,-13.7,0.28,-27.57,15.6,-9.7,-
Net Income Growth,-58.93%,-,-,-62.99%,-,-,-,-,-,5147.86%,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),"1,021","1,021","1,020","1,026","1,022","1,021","1,021","1,023","1,023","1,022","1,016",513,431,460,445,445,445,445
Shares Outstanding (Diluted),"1,021","1,021","1,020","1,026","1,022","1,021","1,021","1,036","1,002","1,030","1,016",513,431,460,445,445,445,-
Shares Change,-0.13%,-0.01%,-0.09%,-1.02%,1.99%,-0.83%,0.51%,102.04%,132.35%,124.12%,128.09%,15.21%,-3.14%,3.20%,-,-,-,-
EPS (Basic),0.20,-0.20,-0.80,0.20,0.20,-1.60,-1.60,0.60,-0.60,0.20,-,-0.20,-0.60,-,-1.20,0.80,-0.40,-
EPS (Diluted),0.20,-0.20,-0.80,0.20,0.20,-1.60,-1.60,0.60,-0.60,0.20,-,-0.20,-0.60,-,-1.20,0.80,-0.40,-
EPS Growth,0%,-,-,-66.67%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,37.23%,29.31%,30.02%,50.02%,23.40%,26.04%,30.30%,24.15%,24.79%,32.47%,40.23%,40.20%,37.88%,33.07%,36.58%,38.65%,36.09%,-
Operating Margin,-0.43%,-3.63%,-17.75%,4.77%,1.44%,-24.87%,-35.57%,3.76%,-7.32%,3.83%,-3.27%,-1.27%,-4.01%,5.23%,-23.21%,17.31%,4.41%,-
Profit Margin,3.16%,-3.00%,-15.86%,3.53%,2.04%,-25.04%,-35.30%,3.88%,-6.95%,4.22%,-1.59%,-2.21%,-5.30%,0.10%,-13.79%,6.20%,-5.42%,-
Effective Tax Rate,-,-,-,-,-,-,-,5.09%,-,10.88%,-,-,-,1.42%,-,0.07%,-,-
EBIT,3.7,-8.62,-38.09,10.56,18.26,-78.15,-78.05,30.05,-28.62,16.68,-2.79,-1.8,-7.94,16.36,-40.47,47.19,-3.85,-
EBIT Margin,1.43%,-2.45%,-15.34%,3.53%,1.87%,-24.80%,-35.70%,4.09%,-7.37%,4.79%,-1.19%,-0.72%,-3.07%,5.77%,-20.25%,18.76%,-2.15%,-
