Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.33,0.28,0.29,0.28,0.33,0.36,0,0
Operating Expenses,0.33,0.28,0.29,0.28,0.33,0.36,0,0
Operating Income,-0.33,-0.28,-0.29,-0.28,-0.33,-0.36,-0,0
Other Expense / Income,-3.01,-6.39,-3.81,-7.72,-8.5,-9.53,-,-
Pretax Income,2.68,6.11,3.52,7.44,8.18,9.17,-0,0
Income Tax,0.78,0.61,0.32,0.06,0,0,0,0
Net Income,1.9,5.5,3.2,7.38,8.18,9.17,-0,0
Net Income Growth,-76.80%,-40.07%,-,-,-,-,-,-
Shares Outstanding (Basic),43,43,43,43,43,13,9,9
Shares Outstanding (Diluted),43,43,43,43,43,13,9,9
Shares Change,-,219.52%,400.00%,400.00%,-,-,-,-
EPS (Basic),0.04,0.13,0.07,0.17,0.19,0.69,-,-
EPS (Diluted),0.04,0.13,0.07,0.17,0.19,0.68,-,-
EPS Growth,-78.95%,-80.88%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.02,-0.00,-0.00,-0.01,-0.06,-,-
Effective Tax Rate,29.22%,10.05%,9.17%,0.78%,-,-,-,-
EBITDA,2.68,6.11,3.52,7.44,8.18,9.17,-0,0
EBIT,2.68,6.11,3.52,7.44,8.18,9.17,-0,0
