Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",-1.21,0.21,0.12,0.11,-0.15,0,0
Other Operating Expenses,0,0,0,0.02,0,0,0
Operating Expenses,-1.21,0.21,0.12,0.13,-0.15,0,0
Operating Income,1.21,-0.21,-0.12,-0.13,0.15,-0,-0
Other Expense / Income,0.97,-0.31,-0.09,-0.01,0.3,-,-
Pretax Income,0.24,0.1,-0.03,-0.12,-0.15,-0,-0
Income Tax,0.11,0.06,0.01,0,0,0,0
Net Income,0.13,0.04,-0.04,-0.12,-0.15,-0,-0
Shares Outstanding (Basic),8,9,9,9,3,2,2
Shares Outstanding (Diluted),8,9,9,9,3,2,2
Shares Change,195.49%,501.73%,501.73%,-,-,-,-
EPS (Basic),-0.09,-0.02,-0.01,-0.01,-3.87,-,-
EPS (Diluted),-0.09,-0.02,-0.01,-0.01,-3.87,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.02,-0.01,-0.06,-,-
Effective Tax Rate,46.99%,58.49%,-,-,-,-,-
EBITDA,0.24,0.1,-0.03,-0.12,-0.15,-0,-0
EBIT,0.24,0.1,-0.03,-0.12,-0.15,-0,-0
