Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Revenue,"1,203","1,557","1,961","1,284",278,"4,941","2,272",89,-60,333,114,77
Revenue Growth (YoY),332.73%,-68.49%,-13.69%,1342.70%,-,1383.78%,1892.98%,15.58%,-,-,-,-
Cost of Revenue,"1,003","1,275","1,428","1,224",115,"5,017","2,262",79,-67,329,111,77
Gross Profit,200,282,533,60,163,-76,10,10,7,4,3,0
"Selling, General & Admin",244,118,260,91,-3,-31,12,7,3,2,2,1
Operating Expenses,244,118,260,91,-3,-31,12,7,3,2,2,1
Operating Income,-44,164,273,-31,166,-45,-2,3,4,2,1,-1
Interest Expense / Income,60,83,70,34,5,9,0,0,0,0,0,0
Other Expense / Income,5,-74,-58,-70,-,-14,6,-,-,-,-,-
Pretax Income,-109,155,261,5,161,-40,-8,3,4,2,1,-1
Income Tax,-11,15,42,6,5,3,-2,1,1,1,0,0
Net Income,-98,140,219,-1,156,-43,-6,2,3,1,1,-1
Net Income Growth,-,-,-,-,5100.00%,-,-,-,-,-,-,-
Shares Outstanding (Basic),51,34,34,34,34,28,28,28,-,-,-,-
Shares Change,46.76%,23.75%,23.75%,23.75%,-,-,-,-,-,-,-,-
EPS (Basic),-3.09,3.62,6.29,0.06,6.54,-2.16,-0.42,-,-,-,-,-
EPS (Diluted),-3.09,3.62,6.29,0.06,6.54,-2.16,-0.42,-,-,-,-,-
Free Cash Flow Per Share,1.92,-7.34,1.74,4.53,2.23,32.44,23.28,1.87,-,-,-,-
Dividend Per Share,-,-,0.140,0.140,0.140,0.130,0.130,-,-,-,-,-
Dividend Growth,-,-,7.69%,-,-,-,-,-,-,-,-,-
Gross Margin,16.63%,18.11%,27.18%,4.67%,58.63%,-1.54%,0.44%,11.24%,-,1.20%,2.63%,-
Operating Margin,-3.66%,10.53%,13.92%,-2.41%,59.71%,-0.91%,-0.09%,3.37%,-,0.60%,0.88%,-1.30%
Profit Margin,-8.15%,8.99%,11.17%,-0.08%,56.12%,-0.87%,-0.26%,2.25%,-,0.30%,0.88%,-1.30%
Free Cash Flow Margin,8.06%,-16.25%,3.06%,12.15%,27.70%,18.28%,28.52%,58.43%,-,83.48%,84.21%,-
Effective Tax Rate,-,9.68%,16.09%,120.00%,3.11%,-,-,33.33%,25.00%,50.00%,-,-
EBITDA,-49,236,343,42,166,-31,-8,3,4,2,1,-
EBITDA Margin,-4.07%,15.16%,17.49%,3.27%,59.71%,-0.63%,-0.35%,3.37%,-,0.60%,0.88%,-
Depreciation & Amortization,0,-2,12,3,0,0,0,0,0,0,0,-
EBIT,-49,238,331,39,166,-31,-8,3,4,2,1,-1
EBIT Margin,-4.07%,15.29%,16.88%,3.04%,59.71%,-0.63%,-0.35%,3.37%,-,0.60%,0.88%,-1.30%
