Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Revenue,8.41,7.33,6.03,5.51,5.56,6.35,7.37,6.23,5.3,5.75,5.95,4.77,6.43,7.01,7,6.71,6.31,6.91,6.18,7.16,7.5,9.71,6.47,6.24,7.32,-
Revenue Growth (YoY),51.31%,15.30%,-18.17%,-11.55%,4.97%,10.51%,23.90%,30.73%,-17.64%,-18.01%,-15.01%,-28.95%,1.84%,1.43%,13.28%,-6.30%,-15.80%,-28.81%,-4.41%,14.83%,2.50%,-,-,-,-,-
Cost of Revenue,1.58,1.42,0.8,0.77,-4.07,-4.33,1.26,1.16,0.77,0.82,1.09,0.82,0.8,1.38,1.41,1.49,1.4,1.51,1.34,-1.4,1.66,2.22,1.44,1.42,1.62,-
Gross Profit,6.83,5.91,5.23,4.74,9.63,10.68,6.12,5.07,4.53,4.93,4.86,3.95,5.63,5.63,5.59,5.22,4.91,5.4,4.84,8.56,5.84,7.49,5.03,4.82,5.7,-
"Selling, General & Admin",0.35,0.29,0.27,0.31,0.28,0.22,0.24,0.24,0.21,0.23,0.2,0.24,0.26,0.3,0.33,0.29,0.26,0.46,0.25,0.54,0.36,0.36,0.33,0.29,0.52,-
Other Operating Expenses,0.8,0.55,1.2,0.58,0.62,0.52,1.16,0.44,0.61,0.83,0.5,0.4,0.42,0.28,0.33,0.36,0.41,0.6,0.44,0.49,0.34,0.52,0.42,0.42,0.45,0
Operating Expenses,1.14,0.84,1.47,0.89,0.91,0.74,1.4,0.68,0.83,1.06,0.7,0.64,0.67,0.58,0.66,0.65,0.67,1.06,0.7,1.02,0.7,0.87,0.74,0.71,0.97,-
Operating Income,5.69,5.07,3.76,3.86,8.73,9.95,4.72,4.39,3.7,3.87,4.16,3.31,4.96,5.05,4.93,4.57,4.24,4.34,4.14,7.53,5.14,6.62,4.29,4.11,4.73,-
Interest Expense / Income,2.82,2.68,2.67,2.67,2.67,2.79,3.15,2.29,2.2,2.21,2.23,2.39,2.31,2.3,2.31,1.57,1.45,1.46,1.46,1.46,1.28,0.06,0.72,0.63,0.63,-
Other Expense / Income,-5.29,9.67,-0.25,5.71,11.16,29.33,4.7,-0.38,-11.04,11.3,-5.77,-2.6,36.19,4.34,12.27,7.37,-5.28,15.36,-2.17,3.43,7.91,1.49,12.3,5.95,0.72,-
Pretax Income,8.16,-7.29,1.33,-4.52,-5.11,-22.18,-3.13,2.49,12.55,-9.63,7.7,3.51,-33.54,-1.59,-9.65,-4.38,8.07,-12.47,4.86,2.65,-4.04,5.07,-8.73,-2.47,3.38,-
Net Income,8.16,-7.29,1.33,-4.52,-5.11,-22.18,-3.13,2.49,12.55,-9.63,7.7,3.51,-33.54,-1.59,-9.65,-4.38,8.07,-12.47,4.86,2.65,-4.04,5.07,-8.73,-2.47,3.38,-
Net Income Growth,-,-,-,-,-,-,-,-29.17%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),8,6,8,5,5,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Shares Outstanding (Diluted),8,6,8,5,5,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-
Shares Change,66.77%,39.27%,90.73%,32.59%,16.87%,102.36%,124.32%,130.57%,132.56%,32.29%,5.94%,-0.43%,-5.44%,-5.56%,-5.54%,-3.87%,-0.10%,-0.04%,-6.08%,-11.24%,-15.70%,-17.09%,-,-,-,-
EPS (Basic),1.07,-1.06,0.18,-0.87,-1.12,-5.54,-0.79,0.63,3.22,-1.39,4.32,2.04,-19.98,-0.94,-5.76,-2.58,4.56,-7.08,2.76,1.50,-2.28,2.46,-4.62,-1.20,1.62,-
EPS (Diluted),1.07,-1.06,0.18,-0.87,-1.12,-5.54,-0.79,0.63,3.22,-1.39,4.32,2.04,-19.98,-0.94,-5.76,-2.58,4.56,-7.08,2.76,1.50,-2.28,2.46,-4.62,-1.20,1.62,-
EPS Growth,-,-,-,-,-,-,-,-69.12%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,1.15,-1.20,0.42,-7.63,0.47,3.25,-9.16,-3.18,-6.17,4.61,-9.44,7.39,12.74,2.23,0.55,-20.61,3.41,1.55,1.56,0.32,-20.59,18.36,-8.64,-23.77,3.32,-
Dividend Per Share,0.350,0.450,0.450,0.450,0.600,0.600,0.600,0.600,0.600,1.494,1.494,1.494,1.494,1.794,1.494,1.494,1.494,2.934,1.494,1.494,1.992,1.494,1.494,1.494,1.494,-
Dividend Growth,-41.67%,-25.00%,-25.00%,-25.00%,0%,-59.84%,-59.84%,-59.84%,-59.84%,-16.72%,0%,0%,0%,-38.85%,0%,0%,-25.00%,96.39%,0%,0%,33.33%,-,-,-,-,-
Gross Margin,81.22%,80.68%,86.67%,86.01%,173.30%,168.16%,82.94%,81.34%,85.50%,85.68%,81.67%,82.82%,87.59%,80.29%,79.82%,77.78%,77.79%,78.13%,78.26%,119.48%,77.87%,77.12%,77.78%,77.28%,77.91%,-
