Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.68,0.62,0.57,0.46,0.5,0.23,0,0
Other Operating Expenses,0,0,0,0,0,1.35,0,0
Operating Expenses,0.68,0.62,0.57,0.46,0.5,1.59,0,0
Operating Income,-0.68,-0.62,-0.57,-0.46,-0.5,-1.59,-0,-0
Other Expense / Income,-0.18,-0.4,-0.4,-0.14,0.03,-0.24,-,-
Pretax Income,-0.5,-0.22,-0.17,-0.32,-0.53,-1.35,-0,-0
Income Tax,0.03,0.1,0.03,0,0,0,0,0
Net Income,-0.52,-0.32,-0.2,-0.32,-0.53,-1.35,-0,-0
Shares Outstanding (Basic),9,14,30,30,30,21,5,5
Shares Outstanding (Diluted),9,14,30,30,30,21,5,5
Shares Change,-70.59%,-30.22%,490.94%,490.94%,-,-,-,-
EPS (Basic),-0.06,-0.02,-0.01,-0.01,-0.02,-0.07,-,-
EPS (Diluted),-0.06,-0.02,-0.01,-0.01,-0.02,-0.07,-,-
Free Cash Flow Per Share,-0.02,-0.04,-0.01,-0.01,-0.01,-0.02,-,-
EBITDA,-0.5,-0.22,-0.17,-0.32,-0.53,-1.35,-0,-0
EBIT,-0.5,-0.22,-0.17,-0.32,-0.53,-1.35,-0,-0
