Metrics,2019-06-30,2018-06-30,2015-09-30,2015-06-30,2015-03-31,2014-12-31
Revenue,0,0,11.69,10.2,8.36,5.66
Gross Profit,0,0,11.69,10.2,8.36,5.66
General & Administrative,0,0,3.4,3.3,2.83,1.32
Other Operating Expenses,0,0,1.2,0.14,0.11,0.08
Operating Expenses,0,0,4.59,3.45,2.94,1.4
Operating Income,0,0,8.05,6.75,5.42,12.81
Interest Income,0,0,11.48,10.05,8.22,5.52
Interest Expense,0,0,0.96,0.46,0,5.52
Other Expense / Income,-,-,48.97,10.05,9.85,17.1
Pretax Income,0,0,-30.4,6.39,3.79,-4.29
Income Tax,0,0,37.49,-0.1,1.63,11.58
Net Income,0,0,-67.89,6.39,2.16,-15.87
Gross Margin,-,-,100.00%,100.00%,100.00%,100.00%
Operating Margin,-,-,68.88%,66.21%,64.82%,226.32%
Profit Margin,-,-,-580.88%,62.69%,25.80%,-280.36%
Effective Tax Rate,-,-,-,-1.52%,43.05%,-
EBITDA,0,0,45.53,6.75,5.42,21.89
EBITDA Margin,-,-,389.52%,66.21%,64.82%,386.74%
Depreciation & Amortization,37.48,9.08,-,-,-,-
