Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
Revenue,36.02,39.6,45.24,45.33,47.59,48.16,49.55,43.91,41.53,37.71,36.7,28.57,27.61,32.98,34.08,31.61,33.17,32.85,32.11,30.68,29.99,27.8,32.14,34.42,27.42,-,-
Revenue Growth (YoY),-24.32%,-17.79%,-8.69%,3.25%,14.60%,27.71%,35.01%,53.69%,50.39%,14.36%,7.69%,-9.61%,-16.76%,0.39%,6.15%,3.03%,10.61%,18.17%,-0.11%,-10.86%,9.36%,-,-,-,-,-,-
Gross Profit,36.02,39.6,45.24,45.33,47.59,48.16,49.55,43.91,41.53,37.71,36.7,28.57,27.61,32.98,34.08,31.61,33.17,32.85,32.11,30.68,29.99,27.8,32.14,34.42,27.42,-,-
"Selling, General & Admin",13.46,15.6,12.31,9.8,12.86,12.59,12.12,11.01,12.86,12.45,13.87,12.77,14.19,13.39,12.78,12.03,13.52,14.67,12.57,11.87,11.92,10.52,11.05,11.75,12.46,-,-
Other Operating Expenses,3.48,4.22,3.07,3.53,2.65,2.63,2.51,2.87,2.54,2.46,2.51,2.58,2.67,1.96,3.29,2.68,2.73,3.29,2.52,3.05,2.8,2.7,2.74,3.09,2.24,0,0
Operating Expenses,16.93,19.81,15.38,13.33,15.51,15.23,14.64,13.88,15.4,14.91,16.37,15.35,16.86,15.34,16.07,14.71,16.25,17.96,15.09,14.92,14.71,13.22,13.78,14.84,14.7,-,-
Operating Income,19.08,19.78,29.87,32.01,32.08,32.94,34.91,30.03,26.12,22.8,20.33,13.22,10.75,17.64,18.01,16.9,16.92,14.89,17.02,15.75,15.28,14.58,18.36,19.58,12.72,-,-
Other Expense / Income,-,-,-,-,-,-,-,-,-,10.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pretax Income,19.08,19.78,29.87,32.01,32.08,32.94,34.91,30.03,26.12,12.36,20.33,13.22,10.75,17.64,18.01,16.9,16.92,14.89,17.02,15.75,15.28,14.58,18.36,19.58,12.72,-,-
Income Tax,5.64,6.09,8.87,9.44,9.14,9.55,10.17,8.81,7.71,3.66,6.01,3.9,3.18,5.18,5.27,5.24,4.91,4.28,4.89,4.53,4.18,-5.84,0.61,0.65,0.43,-,-
Net Income,13.44,13.69,21,22.57,22.94,23.38,24.74,21.22,18.41,8.7,14.32,9.32,7.58,12.46,12.74,11.66,12.01,10.6,12.13,11.23,11.1,20.42,17.75,18.92,12.3,-,-
Net Income Growth,-41.40%,-41.46%,-15.12%,6.37%,24.60%,168.74%,72.82%,127.69%,143.02%,-30.15%,12.41%,-20.07%,-36.92%,17.49%,5.00%,3.85%,8.18%,-48.08%,-31.66%,-40.67%,-9.70%,-,-,-,-,-,-
Shares Outstanding (Basic),51,51,51,51,52,52,52,52,52,52,52,53,56,56,56,56,57,57,57,56,56,43,53,42,42,42,42
Shares Outstanding (Diluted),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,57,-,-,42,42,-,-
Shares Change,-1.21%,-1.19%,-1.25%,-2.08%,-1.11%,-1.38%,-1.28%,-1.39%,-6.99%,-6.47%,-6.68%,-5.98%,-0.61%,-0.90%,-0.71%,-0.88%,-0.45%,31.75%,6.00%,35.29%,35.13%,2.18%,27.02%,-,-,-,-
