Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2019-12-31
Revenue,390.99,395.51,370.99,327.25,275.98,288.52,247.88,179.26,108.22,106.01,54.04,40.5,-
Revenue Growth (YoY),41.67%,37.08%,49.67%,82.55%,155.01%,172.17%,358.66%,342.64%,-,-,-,-,-
Cost of Revenue,197.62,247.93,234.75,218.12,193.89,130.53,96.91,"1,221.57",47.98,132.07,44.21,32.27,-
Gross Profit,193.37,147.58,136.24,109.13,82.09,157.99,150.97,"-1,042.31",60.24,-26.07,9.83,8.23,-
"Selling, General & Admin",56.13,54.96,67.97,54.39,43.29,45.45,28.44,51.52,14.86,19.35,13.64,15.6,-
Other Operating Expenses,70.89,64.66,65.84,64.89,61.53,46.36,46.19,21.34,0,0,0,0,0
Operating Expenses,127.03,119.62,133.81,119.27,104.82,91.81,74.63,72.86,14.86,19.35,13.64,15.6,-
Operating Income,66.34,27.96,2.43,-10.15,-22.74,66.18,76.34,"-1,115.16",45.38,-45.42,-3.81,-7.37,-
Interest Expense / Income,13.57,12.8,15.03,15.05,12.83,9.49,6.11,5.82,5.86,5.81,6.13,5.99,-
Other Expense / Income,38.01,19.46,-10.57,-29.7,-18.72,78.42,137.94,-729.44,-0.08,-1.54,-1.29,-0.86,-
Pretax Income,14.76,-4.3,-2.03,4.51,-16.85,-21.73,-67.71,-391.54,39.6,-49.69,-8.65,-12.49,-
Income Tax,6.44,-5.89,-4.09,5.63,-5.04,-21.81,-14.39,-29.2,0.19,0.02,-0.03,-0.05,-
Net Income,8.32,1.59,2.06,-1.13,-11.82,0.08,-53.32,-362.34,39.41,-49.71,-8.62,-12.44,-
Net Income Growth,-,1841.46%,-,-,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),456,452,441,423,417,413,338,329,34,34,7,-,-
Shares Outstanding (Diluted),462,452,441,-,417,"1,315",338,-,-,-,7,-,-
Shares Change,10.74%,-65.62%,30.44%,28.44%,1113.41%,3823.75%,4823.24%,-,-,-,-,-,-
EPS (Basic),0.02,0.01,-,-,-0.03,0.07,-0.16,-1.21,-,-,-,-,-
EPS (Diluted),0.02,0.01,-,-,-0.03,0.02,-0.16,-1.23,-,-,-,-,-
EPS Growth,-,-50.00%,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,0.25,0.56,0.44,0.34,0.18,0.36,0.32,0.05,0.01,0.67,0.88,-,-
Dividend Per Share,-,0.120,0.110,0.100,0.100,0.090,0.080,-,-,-,-,-,-
Dividend Growth,-,33.33%,37.50%,-,-,-,-,-,-,-,-,-,-
Gross Margin,49.46%,37.31%,36.72%,33.35%,29.74%,54.76%,60.90%,-581.45%,55.66%,-24.59%,18.19%,20.32%,-
Operating Margin,16.97%,7.07%,0.66%,-3.10%,-8.24%,22.94%,30.80%,-622.09%,41.93%,-42.85%,-7.06%,-18.19%,-
Profit Margin,2.13%,0.40%,0.56%,-0.34%,-4.28%,0.03%,-21.51%,-202.13%,36.42%,-46.89%,-15.95%,-30.72%,-
Free Cash Flow Margin,29.50%,63.75%,52.05%,43.65%,27.11%,52.36%,43.38%,9.76%,0.27%,21.19%,11.15%,-,-
Effective Tax Rate,43.64%,-,-,124.99%,-,-,-,-,0.47%,-,-,-,-
EBITDA,106.22,82.65,81.3,86.12,59.17,35.68,-14.48,-365.52,46.74,-43.9,-2.29,-,-
EBITDA Margin,27.17%,20.90%,21.92%,26.32%,21.44%,12.37%,-5.84%,-203.91%,43.19%,-41.41%,-4.24%,-,-
Depreciation & Amortization,77.89,74.14,68.3,66.57,63.19,47.92,47.12,20.21,1.28,-0.02,0.23,-,-
EBIT,28.33,8.5,13,19.56,-4.02,-12.24,-61.6,-385.73,45.46,-43.88,-2.52,-6.5,-
EBIT Margin,7.25%,2.15%,3.50%,5.98%,-1.46%,-4.24%,-24.85%,-215.18%,42.01%,-41.39%,-4.66%,-16.06%,-
