Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31
Revenue,176.56,164.13,154.66,151.21,148.3,143.58,139.67,128.04,119.01,110.92,107.14,99.13,114.89,111.01,110.13,104.48,92.31,97.41,92.91,88.78,-
Revenue Growth (YoY),19.05%,14.31%,10.74%,18.09%,24.62%,29.45%,30.36%,29.16%,3.58%,-0.08%,-2.72%,-5.12%,24.46%,13.96%,18.53%,17.69%,-,-,-,-,-
Cost of Revenue,90.9,85.14,80.21,80.88,82.38,86.5,82.26,76.13,104.07,79.53,76.67,75.88,79.8,79.68,77.14,68.71,60.47,60.32,57.47,55.83,-
Gross Profit,85.66,78.99,74.46,70.33,65.92,57.09,57.4,51.91,14.93,31.39,30.47,23.25,35.09,31.33,32.99,35.77,31.85,37.09,35.44,32.95,-
"Selling, General & Admin",25.69,24.17,21.67,22.22,22.06,20.34,18.79,16.32,17.49,13.77,15.95,13.38,19.37,16.57,16.03,13.14,12.29,12.89,11.24,10.6,-
Other Operating Expenses,13.82,16.09,13.84,13.21,13.2,15.54,15.72,14.75,13.73,13.77,12.31,11.91,12.24,11.83,11.25,12.08,9.28,10.28,8.91,8.75,0
Operating Expenses,39.51,40.26,35.51,35.43,35.26,35.89,34.51,31.06,31.22,27.54,28.25,25.29,31.61,28.4,27.27,25.22,21.57,23.17,20.14,19.35,-
Operating Income,46.15,38.73,38.95,34.9,30.66,21.2,22.89,20.85,-16.29,3.85,2.22,-2.04,3.48,2.92,5.72,10.56,10.28,13.92,15.3,13.6,-
Interest Expense / Income,2.35,2.31,1.56,1.49,1.16,0.95,1.06,0.77,0.77,1.14,1.34,1.47,1.63,1.7,2.51,4.03,4.02,1.92,0,0,-
Other Expense / Income,19.87,-0.24,-0.01,0.08,0.13,0.02,0.12,-0.02,-0.02,1.69,-0.02,-0.04,0.05,-,2.3,-,-,-,-,-,-
Pretax Income,23.94,36.65,37.4,33.33,29.37,20.23,21.71,20.09,-17.04,1.01,0.89,-3.48,1.81,1.22,0.91,6.53,6.25,12,15.3,13.6,-
Income Tax,6.72,11.06,7.29,7.99,7.15,7.88,9.46,10.11,-8.13,10.88,-7.71,5.81,-0.93,3.96,4.64,3.29,3.44,3.99,4.94,4.34,-
Net Income,17.22,25.59,30.11,25.34,22.22,12.35,12.25,9.99,-8.92,-9.87,8.6,-9.28,2.74,-2.74,-3.73,3.24,2.81,8.02,10.35,9.27,-
Net Income Growth,-22.49%,107.21%,145.79%,153.76%,-,-,42.49%,-,-,-,-,-,-2.67%,-,-,-65.06%,-,-,-,-,-
Shares Outstanding (Basic),74,74,74,74,74,73,73,72,70,68,67,67,67,57,69,66,66,66,66,66,66
Shares Outstanding (Diluted),74,74,74,74,74,74,74,72,70,60,70,67,69,57,69,66,66,66,66,-,-
Shares Change,0.94%,0.49%,0.38%,2.13%,4.62%,22.23%,4.99%,7.36%,1.59%,6.49%,1.15%,1.60%,4.79%,-14.31%,4.72%,-,-,-,-,-,-
EPS (Basic),0.23,0.35,0.41,0.34,0.30,0.17,0.17,0.14,-0.13,-0.15,0.13,-0.14,0.04,-0.04,-0.05,0.05,0.04,0.13,0.16,0.14,-
EPS (Diluted),0.23,0.35,0.41,0.34,0.30,0.16,0.17,0.14,-0.13,-0.15,0.12,-0.14,0.04,-0.04,-0.05,0.05,0.04,0.13,0.16,-,-
EPS Growth,-23.33%,118.75%,141.18%,142.86%,-,-,41.67%,-,-,-,-,-,0%,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,0.39,0.45,0.42,0.27,0.23,0.37,0.43,0.41,0.09,0.21,0.25,0.21,0.04,0.28,0.28,-0.02,-0.03,0.21,0.29,-,-
Gross Margin,48.52%,48.13%,48.14%,46.51%,44.45%,39.76%,41.10%,40.54%,12.55%,28.30%,28.44%,23.45%,30.54%,28.22%,29.95%,34.24%,34.50%,38.08%,38.14%,37.12%,-
Operating Margin,26.14%,23.59%,25.18%,23.08%,20.67%,14.77%,16.39%,16.28%,-13.69%,3.47%,2.07%,-2.06%,3.03%,2.63%,5.19%,10.10%,11.13%,14.29%,16.46%,15.32%,-
Profit Margin,9.75%,15.59%,19.47%,16.76%,14.98%,8.60%,8.77%,7.80%,-7.49%,-8.89%,8.02%,-9.36%,2.38%,-2.47%,-3.39%,3.10%,3.05%,8.23%,11.14%,10.44%,-
Free Cash Flow Margin,16.40%,20.19%,20.20%,13.15%,11.45%,18.87%,22.44%,23.01%,5.40%,13.09%,15.46%,14.18%,2.38%,14.73%,17.60%,-1.16%,-2.10%,14.62%,20.97%,-,-
Effective Tax Rate,28.06%,30.17%,19.50%,23.98%,24.36%,38.94%,43.57%,50.30%,-,1074.80%,-869.22%,-,-51.41%,324.41%,511.03%,50.40%,55.03%,33.21%,32.31%,31.89%,-
EBITDA,34.71,46.97,46.92,42.53,38,29.26,33.42,30.6,-6.8,11.46,10.9,6.75,11.84,11.25,10.94,18.17,17.17,20.73,21.86,-,-
EBITDA Margin,19.66%,28.62%,30.34%,28.13%,25.62%,20.38%,23.93%,23.90%,-5.71%,10.33%,10.17%,6.81%,10.31%,10.13%,9.94%,17.39%,18.60%,21.28%,23.53%,-,-
Depreciation & Amortization,8.43,8.01,7.96,7.71,7.47,8.08,10.65,9.73,9.47,9.3,8.67,8.75,8.41,8.32,7.52,7.61,6.9,6.8,6.57,-,-
EBIT,26.29,38.97,38.96,34.82,30.53,21.18,22.77,20.87,-16.27,2.16,2.23,-2,3.43,2.92,3.42,10.56,10.28,13.92,15.3,13.6,-
EBIT Margin,14.89%,23.74%,25.19%,23.03%,20.59%,14.75%,16.30%,16.30%,-13.67%,1.94%,2.08%,-2.02%,2.99%,2.63%,3.10%,10.10%,11.13%,14.29%,16.46%,15.32%,-
