Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",1.89,1.27,1.1,0.2,0.23,0,0
Other Operating Expenses,0,0,0,0.05,0,0,0
Operating Expenses,1.89,1.27,1.1,0.25,0.23,0,0
Operating Income,-1.89,-1.27,-1.1,-0.25,-0.23,-0,-0
Other Expense / Income,-1.69,-0.93,-0.32,-0.02,-0,-,-
Pretax Income,-0.2,-0.34,-0.78,-0.23,-0.23,-0,-0
Income Tax,0.43,0.2,0.07,-0.01,-0.02,0,0
Net Income,-0.63,-0.54,-0.85,-0.22,-0.21,-0,-0
Shares Outstanding (Basic),29,32,32,31,15,7,7
Shares Outstanding (Diluted),29,32,32,31,15,7,7
Shares Change,85.55%,358.71%,358.71%,-,-,-,-
EPS (Basic),-0.02,-0.02,-0.03,-0.01,-0.01,-,-
EPS (Diluted),-0.02,-0.02,-0.03,-0.01,-0.01,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.05,-,-
EBITDA,-0.2,-0.34,-0.78,-0.23,-0.23,-0,-0
EBIT,-0.2,-0.34,-0.78,-0.23,-0.23,-0,-0
