Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.48,0.26,0.32,-4.59,2.36,3.23,1.68,0.05,0
Operating Expenses,0.48,0.26,0.32,-4.59,2.36,3.23,1.68,0.05,0
Operating Income,-0.48,-0.26,-0.32,4.59,-2.36,-3.23,-1.68,-0.05,0
Other Expense / Income,-3.51,-2.64,-5.06,-19.58,-5.42,3.54,-3.67,0.22,-
Pretax Income,3.03,2.38,4.75,24.17,3.05,-6.77,1.99,-0.27,0
Income Tax,0.64,0.26,0,0,0,0,0,0,0
Net Income,2.39,2.12,4.75,24.17,3.05,-6.77,1.99,-0.27,0
Net Income Growth,-21.73%,-,138.23%,-,-,-,-,-,-
Shares Outstanding (Basic),50,50,50,50,50,50,50,20,10
Shares Outstanding (Diluted),50,50,50,50,50,50,50,20,10
Shares Change,-0.16%,-,-,147.25%,400.81%,-,-,-,-
EPS (Basic),0.05,0.04,0.09,0.48,0.08,-0.14,0.04,-0.01,-
EPS (Diluted),0.05,0.04,0.09,0.48,0.08,-0.14,0.04,-0.01,-
EPS Growth,-37.50%,-,125.00%,-,-,-,-,-,-
Free Cash Flow Per Share,-42.06,-0.01,-0.01,-0.00,-32.35,-0.01,-0.01,-0.03,-
Effective Tax Rate,21.22%,11.02%,-,-,-,-,-,-,-
EBITDA,3.03,2.38,4.75,24.17,3.05,-6.77,1.99,-0.27,0
EBIT,3.03,2.38,4.75,24.17,3.05,-6.77,1.99,-0.27,0
