Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.94,0.25,0,0.25,0.5,0,0,0
Operating Expenses,0.94,0.25,0,0.25,0.5,0,0,0
Operating Income,-0.94,-0.25,0,-0.25,-0.5,-0,0,0
Other Expense / Income,-1.64,-1.43,-0.14,-0.11,-0.24,-,-,-
Pretax Income,0.69,1.18,0.14,-0.15,-0.27,-0,0,0
Income Tax,0.36,0.28,0,0,0,0,0,0
Net Income,0.33,0.9,0.14,-0.15,-0.27,-0,0,0
Shares Outstanding (Basic),39,41,41,41,18,10,10,10
Shares Outstanding (Diluted),39,41,41,41,18,10,10,10
Shares Change,116.33%,300.00%,300.00%,300.00%,-,-,-,-
EPS (Basic),0.01,0.02,-,-,-0.01,-,-,-
EPS (Diluted),0.01,0.02,-,-,-0.01,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.00,-0.01,-0.04,-,-,-
Effective Tax Rate,51.98%,23.68%,-,-,-,-,-,-
EBITDA,0.69,1.18,0.14,-0.15,-0.27,-0,0,0
EBIT,0.69,1.18,0.14,-0.15,-0.27,-0,0,0
