Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31
Revenue,30.07,30.68,33.5,32.93,32.05,30.06,30.72,30.45,30.61,30.38,29.24,16.07,24.13,25.17,24.6,22.82,21.99,22.53,21.28,19.73,18.44,18.67,18,17.52,16.87,17.04,16.23,14.7,15.24
Revenue Growth (YoY),-6.19%,2.07%,9.05%,8.16%,4.71%,-1.05%,5.05%,89.48%,26.85%,20.70%,18.87%,-29.59%,9.71%,11.71%,15.61%,15.70%,19.29%,20.69%,18.18%,12.62%,9.27%,9.55%,10.93%,19.13%,10.69%,-,-,-,-
Gross Profit,30.07,30.68,33.5,32.93,32.05,30.06,30.72,30.45,30.61,30.38,29.24,16.07,24.13,25.17,24.6,22.82,21.99,22.53,21.28,19.73,18.44,18.67,18,17.52,16.87,17.04,16.23,14.7,15.24
"Selling, General & Admin",15.09,15.13,14.65,14.58,14.24,13.89,13.74,13.04,12.63,12.81,12.04,10.63,11.94,11.83,11.34,11.13,11.44,10.72,10.37,9.8,9.63,8.77,8.67,8.31,8.74,8.23,8.09,7.97,8.2
Other Operating Expenses,4.87,5.76,5.59,5.12,4.84,5.09,5.55,4.67,4.68,5.37,4.72,4.56,4.46,4.4,4.09,4.26,4.03,3.82,4.65,4.27,3.5,3.5,3.5,3.6,3.31,3.81,3.39,3.42,3.28
Operating Expenses,19.97,20.9,20.24,19.69,19.08,18.98,19.29,17.7,17.31,18.17,16.76,15.18,16.41,16.23,15.44,15.39,15.47,14.54,15.03,14.07,13.13,12.27,12.17,11.91,12.05,12.04,11.48,11.38,11.48
Operating Income,10.1,9.78,13.26,13.24,12.97,11.08,11.43,12.74,13.3,12.21,12.48,0.89,7.72,8.94,9.16,7.43,6.52,7.99,6.25,5.66,5.3,6.4,5.84,5.61,4.83,5,4.75,3.32,3.77
Other Expense / Income,-0,-0,-0,-0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pretax Income,10.1,9.79,13.27,13.26,12.97,11.08,11.43,12.74,13.3,12.21,12.48,0.89,7.72,8.94,9.16,7.43,6.52,7.99,6.25,5.66,5.3,6.4,5.84,5.61,4.83,5,4.75,3.32,3.77
Income Tax,1.82,1.76,2.36,2.47,2.24,1.92,2.18,2.31,2.34,2.29,2.35,-0.19,1.45,1.57,1.63,1.38,1.19,1.47,1.16,1.02,0.94,3.59,1.7,1.63,1.31,1.43,1.38,0.82,1.09
Net Income,8.28,8.02,10.9,10.78,10.74,9.16,9.25,10.43,10.96,9.92,10.13,1.08,6.28,7.37,7.53,6.04,5.34,6.51,5.09,4.63,4.36,2.81,4.14,3.98,3.52,3.57,3.37,2.5,2.68
Net Income Growth,-22.88%,-12.41%,17.83%,3.37%,-2.04%,-7.62%,-8.69%,870.42%,74.61%,34.55%,34.58%,-82.21%,17.63%,13.16%,47.91%,30.41%,22.44%,131.91%,23.00%,16.55%,23.98%,-21.43%,22.82%,59.04%,31.34%,-,-,-,-
Shares Outstanding (Basic),12,12,12,12,12,12,12,12,12,11,11,11,11,12,12,12,12,12,12,11,11,11,11,11,11,11,-,-,-
Shares Change,-1.21%,-1.22%,-1.25%,-0.46%,0.30%,10.15%,9.48%,9.46%,6.36%,-4.84%,-4.72%,-5.91%,-4.02%,-3.00%,-3.35%,5.84%,6.77%,7.51%,8.15%,0.05%,0.05%,0.05%,-,-,-,-,-,-,-
