Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-10-13
"Selling, General & Admin",1.33,1.12,0.23,0.34,0.56,0.2,1.35,0.37,0.04,0
Other Operating Expenses,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0
Operating Expenses,1.38,1.17,0.3,0.39,0.61,0.25,1.4,0.42,0.1,0
Operating Income,-1.38,-1.17,-0.3,-0.39,-0.61,-0.25,-1.4,-0.42,-0.1,-0
Other Expense / Income,-0.84,-2.39,-3.16,-7.06,0.49,-6.23,2.9,-11.46,5.95,-
Pretax Income,-0.54,1.21,2.86,6.67,-1.1,5.98,-4.3,11.04,-6.05,-0
Income Tax,0.54,0.21,0.01,0,0,0,0,0,0,0
Net Income,-1.08,1,2.85,6.67,-1.1,5.98,-4.3,11.04,-6.05,-0
Net Income Growth,-,-83.26%,-,-39.58%,-,-,-,-,-,-
Shares Outstanding (Basic),28,29,29,29,29,29,29,29,5,4
Shares Outstanding (Diluted),28,29,29,29,29,29,29,29,5,4
Shares Change,-1.37%,-,-,-,509.85%,557.14%,-,-,-,-
EPS (Basic),-0.04,0.03,0.10,0.23,-0.04,0.21,-0.15,0.38,-1.28,-
EPS (Diluted),-0.04,0.03,0.10,0.23,-0.04,0.21,-0.15,0.38,-1.28,-
EPS Growth,-,-85.71%,-,-39.47%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.01,-0.00,-0.02,-0.01,-0.12,-
Effective Tax Rate,-,17.52%,0.39%,-,-,-,-,-,-,-
EBITDA,-0.54,1.21,2.86,6.67,-1.1,5.98,-4.3,11.04,-6.05,-0
EBIT,-0.54,1.21,2.86,6.67,-1.1,5.98,-4.3,11.04,-6.05,-0
