Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.97,0.38,0.16,0.41,0,0,0
Operating Expenses,0.97,0.38,0.16,0.41,0,0,0
Operating Income,-0.97,-0.38,-0.16,-0.41,0,0,-0
Other Expense / Income,-3.8,-2.24,-3.15,-7.51,-,-,-
Pretax Income,2.83,1.87,2.99,7.1,0,0,-0
Net Income,2.83,1.87,2.99,7.1,0,0,-0
Shares Outstanding (Basic),39,39,39,30,8,9,9
Shares Outstanding (Diluted),39,39,39,30,8,9,9
Shares Change,375.71%,343.57%,343.57%,-,-,-,-
EPS (Basic),0.07,0.05,0.08,0.23,-,-,-
EPS (Diluted),0.07,0.05,0.08,0.23,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.02,-,-,-
EBITDA,2.83,1.87,2.99,7.1,0,0,-0
EBIT,2.83,1.87,2.99,7.1,0,0,-0
