Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30
Revenue,4.16,4.15,4.21,4.24,2.61,2.58,2.19,2.32,1.97,1.68,1.64,2,1.74,1.33
Revenue Growth (YoY),59.12%,60.88%,92.03%,82.28%,32.64%,53.66%,33.42%,15.94%,13.24%,26.58%,-,-,-,-
Cost of Revenue,0.77,0.86,0.85,0.9,0.68,0.66,0.56,0.53,0.39,0.4,0.35,0.43,0.29,0.18
Gross Profit,3.39,3.29,3.36,3.33,1.94,1.92,1.63,1.79,1.58,1.28,1.29,1.58,1.45,1.15
"Selling, General & Admin",4.13,4.09,4.55,5.12,2.27,2.01,2.37,1.95,1.96,2.03,1.98,2.06,2.71,1.4
Other Operating Expenses,15.1,0.71,0.76,0.61,0.52,0.39,0.37,0.33,0.32,0.34,0.33,0.33,0.32,0.27
Operating Expenses,19.23,4.81,5.3,5.73,2.78,2.4,2.74,2.28,2.28,2.37,2.31,2.39,3.03,1.67
Operating Income,-15.84,-1.52,-1.94,-2.4,-0.85,-0.48,-1.1,-0.48,-0.7,-1.09,-1.03,-0.81,-1.58,-0.53
Other Expense / Income,3.65,-7.64,-12.44,-11.74,17.76,0.12,0.17,0.13,-0.37,0.14,0.11,0.17,0.18,0.11
Pretax Income,-19.49,6.12,10.5,9.34,-18.61,-0.6,-1.28,-0.61,-0.33,-1.23,-1.14,-0.98,-1.76,-0.63
Net Income,-19.49,6.12,10.5,9.34,-18.61,-0.6,-1.28,-0.61,-0.33,-1.23,-1.14,-0.98,-1.76,-0.63
Shares Outstanding (Basic),1,1,1,1,1,1,1,1,0,0,0,0,0,0
Shares Outstanding (Diluted),1,1,1,2,1,1,1,1,0,0,0,0,0,0
Shares Change,25.34%,59.21%,91.96%,212.89%,158.45%,162.94%,162.71%,158.65%,47.38%,9.01%,-,-,-,-
EPS (Basic),-16.92,5.25,8.40,1.95,-27.59,-0.75,-1.80,-1.20,-1.20,-4.50,-4.05,-5.10,-11.25,-2.55
EPS (Diluted),11.28,-1.50,-1.50,-6.30,-27.59,-0.75,-1.80,-1.20,-1.20,-4.50,-4.05,-5.10,-11.25,-2.55
Free Cash Flow Per Share,-1.11,-0.79,-0.79,-0.29,-1.36,0.23,-1.16,-1.29,3.49,-4.35,-0.08,-1.15,-1.35,-
Gross Margin,81.55%,79.23%,79.79%,78.65%,74.03%,74.41%,74.52%,77.21%,80.16%,76.23%,78.45%,78.77%,83.40%,86.28%
Operating Margin,-380.78%,-36.52%,-46.23%,-56.62%,-32.42%,-18.41%,-50.43%,-20.87%,-35.60%,-65.01%,-62.45%,-40.29%,-90.61%,-39.66%
Profit Margin,-468.59%,147.40%,249.47%,220.50%,-712.00%,-23.06%,-58.28%,-26.42%,-16.83%,-73.31%,-69.33%,-48.88%,-101.16%,-47.60%
Free Cash Flow Margin,-24.41%,-21.99%,-23.41%,-8.20%,-38.09%,6.38%,-38.64%,-27.83%,50.01%,-71.86%,-1.41%,-11.16%,-14.84%,-
EBITDA,-18.76,6.84,11.27,9.95,-18.09,-0.21,-0.9,-0.29,-0.01,-0.89,-0.81,-0.65,-1.44,-
EBITDA Margin,-451.03%,164.72%,267.94%,234.94%,-692.02%,-8.01%,-41.14%,-12.29%,-0.47%,-52.78%,-49.28%,-32.46%,-82.58%,-
Depreciation & Amortization,0.73,0.72,0.78,0.61,0.52,0.39,0.38,0.33,0.32,0.34,0.33,0.33,0.32,-
EBIT,-19.49,6.12,10.5,9.34,-18.61,-0.6,-1.28,-0.61,-0.33,-1.23,-1.14,-0.98,-1.76,-0.63
EBIT Margin,-468.59%,147.40%,249.47%,220.50%,-712.00%,-23.06%,-58.28%,-26.42%,-16.83%,-73.31%,-69.33%,-48.88%,-101.16%,-47.60%
