Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31
Revenue,127.07,153.38,135.51,100.9,91.7,96.32,79,102.88,84.58,84.43,69.74,76.93,68.14,64.29,64.69,66.99,66,55.83,63.36,77.61,65.01,48.71,52.7,46.68,42.33,51.24,39.57,-
Revenue Growth (YoY),38.57%,59.24%,71.54%,-1.92%,8.42%,14.08%,13.26%,33.72%,24.13%,31.32%,7.82%,14.84%,3.25%,15.15%,2.09%,-13.69%,1.51%,14.63%,20.23%,66.26%,53.58%,-4.95%,33.20%,-,-,-,-,-
Gross Profit,127.07,153.38,135.51,100.9,91.7,96.32,79,102.88,84.58,84.43,69.74,76.93,68.14,64.29,64.69,66.99,66,55.83,63.36,77.61,65.01,48.71,52.7,46.68,42.33,51.24,39.57,-
"Selling, General & Admin",68.7,83.56,72.98,54.63,50.66,49.82,43.25,57.02,41.86,46.12,40.91,43.31,39.25,37.37,37.69,38.06,37.76,34.47,37.67,33.25,30.71,28.7,28.42,27.62,25.58,27.8,22.71,-
Operating Expenses,68.7,83.56,72.98,54.63,50.66,49.82,43.25,57.02,41.86,46.12,40.91,43.31,39.25,37.37,37.69,38.06,37.76,34.47,37.67,33.25,30.71,28.7,28.42,27.62,25.58,27.8,22.71,-
Operating Income,58.37,69.83,62.53,46.27,41.05,46.5,35.75,45.86,42.72,38.31,28.83,33.62,28.89,26.93,26.99,28.93,28.24,21.37,25.69,44.36,34.3,20.01,24.28,19.06,16.75,23.44,16.86,-
Interest Expense / Income,2.42,2.11,1.5,1.15,1.16,1.17,1.17,1.06,0.47,0.49,0.49,0.6,0.65,0.75,0.82,0.78,0.77,0.73,0.77,0.71,0.66,3.51,1.11,5.79,2.92,2.95,2.9,-
Other Expense / Income,34.5,17.34,16.06,2.39,-23.48,-20.84,-5.55,1.15,2.62,3.84,23.18,9.96,10.19,8.21,10.46,15.2,3.55,3.84,14.47,26.16,16.99,9.12,14.02,12.08,13.72,20.46,14.36,-
Pretax Income,21.46,50.37,44.97,42.73,63.37,66.18,40.13,43.65,39.63,33.98,5.17,23.05,18.05,17.98,15.72,12.95,23.92,16.8,10.46,17.49,16.65,7.38,9.16,1.19,0.11,0.03,-0.4,-
Income Tax,11.79,15.49,11.49,28.91,11.52,14.03,11.96,3.9,6.43,12.17,1.92,2.4,4.55,2.68,4.34,4.9,18.46,5.58,1.62,4,22.96,2.69,3.69,0.58,0.11,0.03,-0.4,-
Net Income,9.67,34.88,33.48,13.83,51.85,52.15,28.17,39.76,33.2,21.81,3.25,20.65,13.5,15.3,11.38,8.05,5.46,11.22,8.85,13.5,-6.31,4.69,5.46,0.61,0,0,0,-
Net Income Growth,-81.35%,-33.11%,18.87%,-65.23%,56.16%,139.05%,767.78%,92.56%,146.00%,42.58%,-71.48%,156.56%,147.29%,36.33%,28.67%,-40.38%,-,139.38%,61.88%,2105.56%,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),54,53,53,53,54,53,53,53,53,53,52,52,52,51,51,50,50,49,49,47,47,47,47,18,45,45,45,45
Shares Change,-0.21%,0.41%,0.40%,0.89%,2.23%,0.91%,2.19%,1.69%,1.69%,3.27%,2.00%,3.48%,3.44%,4.44%,4.19%,6.19%,6.20%,3.23%,3.45%,165.44%,4.92%,4.88%,4.88%,-60.48%,-,-,-,-
EPS (Basic),0.32,0.98,0.92,0.38,1.44,1.41,0.78,1.03,0.96,0.66,0.11,0.72,0.46,0.56,0.43,0.32,0.22,0.49,0.40,0.73,-0.35,0.26,0.30,0.03,-,-,-,-
EPS (Diluted),0.31,0.97,0.91,0.39,1.40,1.41,0.78,1.03,0.96,0.66,0.11,0.71,0.46,0.56,0.42,0.32,0.22,0.49,0.39,0.72,-0.35,0.26,0.30,0.03,-,-,-,-
EPS Growth,-77.86%,-31.21%,16.67%,-62.14%,45.83%,113.64%,609.09%,45.07%,108.70%,17.86%,-73.81%,121.88%,109.09%,14.29%,7.69%,-55.56%,-,88.46%,30.00%,2300.00%,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,1.05,1.77,1.11,0.31,1.25,0.93,0.53,0.57,0.98,0.78,0.90,0.14,0.81,0.63,0.64,0.08,0.64,0.69,0.75,0.01,0.68,0.70,0.61,0.20,0.73,0.60,0.38,-
Dividend Per Share,0.400,0.400,0.400,0.350,0.350,0.350,0.350,0.312,0.312,0.312,0.312,0.275,0.275,0.275,0.275,0.212,0.212,0.212,0.212,0.175,0.175,0.175,0.175,-,-,-,-,-
Dividend Growth,14.29%,14.29%,14.29%,12.18%,12.18%,12.18%,12.18%,13.45%,13.45%,13.45%,13.45%,29.72%,29.72%,29.72%,29.72%,21.14%,21.14%,21.14%,21.14%,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-
Operating Margin,45.94%,45.52%,46.14%,45.85%,44.76%,48.28%,45.26%,44.58%,50.51%,45.38%,41.34%,43.70%,42.40%,41.88%,41.73%,43.18%,42.79%,38.27%,40.55%,57.16%,52.76%,41.07%,46.07%,40.83%,39.57%,45.75%,42.61%,-
Profit Margin,7.61%,22.74%,24.71%,13.70%,56.54%,54.14%,35.66%,38.65%,39.25%,25.84%,4.65%,26.84%,19.81%,23.80%,17.59%,12.01%,8.27%,20.10%,13.96%,17.39%,-9.70%,9.62%,10.37%,1.31%,-,-,-,-
