Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-10-07,2020-06-30,2020-03-31,2019-12-31
Revenue,39.8,35.8,30.7,28.7,24.5,32.1,21.3,20.9,17,16.4,13,11.9,10.2,-
Revenue Growth (YoY),62.45%,11.53%,44.13%,37.32%,44.12%,95.73%,63.85%,75.63%,66.67%,-,-,-,-,-
Cost of Revenue,53.5,39.5,39.5,46.6,35.7,37.9,33.4,29.9,24.8,17.7,13.9,7.4,5.8,-
Gross Profit,-13.7,-3.7,-8.8,-17.9,-11.2,-5.8,-12.1,-9,-7.8,-1.3,-0.9,4.5,4.4,-
"Selling, General & Admin",42.2,45.9,48.4,37.6,41.4,44.3,35.8,31,33,26,33.8,22.8,23.6,-
Research & Development,11.6,11.5,14.8,16.5,14.7,13.5,8.3,7.5,6.9,4.8,5.7,3.7,3.6,-
Other Operating Expenses,0,0,55.3,0,0,0,0,0,0,0,0,0,0,0
Operating Expenses,53.8,57.4,118.5,54.1,56.1,57.8,44.1,38.5,39.9,30.8,39.5,26.5,27.2,-
Operating Income,-67.5,-61.1,-127.3,-72,-67.3,-63.6,-56.2,-47.5,-47.7,-32.1,-40.4,-22,-22.8,-
Interest Expense / Income,0.3,1.4,-0.1,-0.3,-1,-156.5,-26.4,36,147.1,21.8,0.1,2.9,1.1,-
Other Expense / Income,1.7,0.1,1.7,1.5,1.1,153.3,1,0.8,0.3,0.1,-,-0.1,-,-
Pretax Income,-69.5,-62.6,-128.9,-73.2,-67.4,-60.4,-30.8,-84.3,-195.1,-54,-40.5,-24.8,-23.9,-
Income Tax,0.3,0.5,0.3,0.3,0.2,0.3,0.1,0.2,0.1,0.1,-1.9,0,0,-
Net Income,-69.8,-63.1,-129.2,-73.5,-67.6,-60.7,-30.9,-84.5,-195.2,-54.1,-38.6,-24.8,-23.9,-
Shares Outstanding (Basic),23,23,23,23,22,11,15,4,4,4,3,0,0,0
Shares Outstanding (Diluted),23,23,23,23,22,11,15,4,4,4,3,0,0,-
Shares Change,3.27%,111.59%,47.59%,475.93%,485.20%,202.42%,342.74%,695.23%,692.34%,744.88%,-,-,-,-
EPS (Basic),-3.01,-2.73,-5.66,-3.25,-3.01,10.10,-2.00,-21.50,-50.75,-15.25,-11.00,-50.25,-49.25,-
EPS (Diluted),-3.01,-2.73,-5.66,-3.25,-3.01,10.10,-2.00,-21.50,-50.75,-15.25,-11.00,-50.25,-49.25,-
Free Cash Flow Per Share,-1.71,-1.46,-2.12,-1.51,-2.88,-0.92,-3.48,-14.37,-4.74,-8.78,-4.52,-20.02,-36.12,-
Gross Margin,-34.42%,-10.34%,-28.66%,-62.37%,-45.71%,-18.07%,-56.81%,-43.06%,-45.88%,-7.93%,-6.92%,37.82%,43.14%,-
Operating Margin,-169.60%,-170.67%,-414.66%,-250.87%,-274.69%,-198.13%,-263.85%,-227.27%,-280.59%,-195.73%,-310.77%,-184.87%,-223.53%,-
Profit Margin,-175.38%,-176.26%,-420.85%,-256.10%,-275.92%,-189.10%,-145.07%,-404.31%,-1148.24%,-329.88%,-296.92%,-208.40%,-234.31%,-
Free Cash Flow Margin,-99.50%,-93.85%,-157.98%,-119.51%,-264.49%,-31.15%,-253.05%,-270.33%,-107.06%,-192.68%,-121.54%,-83.19%,-171.57%,-
EBITDA,-64.9,-57.2,-125.2,-70,-64.5,-213.6,-54.5,-45.8,-45.5,-30.3,-38.6,-20.3,-21.4,-
EBITDA Margin,-163.07%,-159.78%,-407.82%,-243.90%,-263.27%,-665.42%,-255.87%,-219.14%,-267.65%,-184.76%,-296.92%,-170.59%,-209.80%,-
Depreciation & Amortization,4.3,4,3.8,3.5,3.9,3.3,2.7,2.5,2.5,1.9,1.8,1.6,1.4,-
EBIT,-69.2,-61.2,-129,-73.5,-68.4,-216.9,-57.2,-48.3,-48,-32.2,-40.4,-21.9,-22.8,-
EBIT Margin,-173.87%,-170.95%,-420.20%,-256.10%,-279.18%,-675.70%,-268.54%,-231.10%,-282.35%,-196.34%,-310.77%,-184.03%,-223.53%,-
