Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-10-19
"Selling, General & Admin",0.67,0.54,0.36,1.23,0.97,0.22,3.13,0.66,0.41,0.06,0.02
Operating Expenses,0.67,0.54,0.36,1.23,0.97,0.22,3.13,0.66,0.41,0.06,0.02
Operating Income,-0.67,-0.54,-0.36,-1.23,-0.97,-0.22,-3.13,-0.66,-0.41,-0.06,-0.02
Other Expense / Income,-2.56,-4.72,-5.84,-7.79,-19.59,6.3,-9.39,8.45,-19.54,-,-
Pretax Income,1.89,4.18,5.48,6.56,18.63,-6.52,6.26,-9.11,19.13,-0.06,-0.02
Net Income,1.89,4.18,5.48,6.56,18.63,-6.52,6.26,-9.11,19.13,-0.06,-0.02
Net Income Growth,-89.84%,-,-12.52%,-,-2.64%,-,-,-,-,-,-
Shares Outstanding (Basic),49,86,86,86,86,76,86,86,75,15,13
Shares Outstanding (Diluted),49,86,86,86,86,76,86,86,76,15,13
Shares Change,-43.30%,13.47%,-,-,14.21%,406.73%,590.00%,-,-,-,-
EPS (Basic),0.04,0.04,0.06,0.08,0.22,-0.07,0.07,-0.11,0.25,-,-
EPS (Diluted),0.04,0.04,0.06,0.08,0.22,-0.07,0.07,-0.11,0.25,-,-
EPS Growth,-81.82%,-,-14.29%,-,-12.00%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.03,-0.00,-0.00,-0.01,-0.00,-0.00,-0.00,-0.00,-0.01,-,-
EBITDA,1.89,4.18,5.48,6.56,18.63,-6.52,6.26,-9.11,19.13,-0.06,-0.02
EBIT,1.89,4.18,5.48,6.56,18.63,-6.52,6.26,-9.11,19.13,-0.06,-0.02
