Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-23
"Selling, General & Admin",0.59,0.61,0.77,0.61,0.73,1.33,1.05,0.16,0
Operating Expenses,0.59,0.61,0.77,0.61,0.73,1.33,1.05,0.16,0
Operating Income,-0.59,-0.61,-0.77,-0.61,-0.73,-1.33,-1.05,-0.16,-0
Other Expense / Income,-3.81,-1.82,-2.09,-4.53,-2.84,-3.97,-6.5,-,-
Pretax Income,3.22,1.21,1.31,3.92,2.11,2.64,5.45,-0.16,-0
Net Income,3.22,1.21,1.31,3.92,2.11,2.64,5.45,-0.16,-0
Net Income Growth,52.68%,-54.31%,-75.90%,-,-,-,-,-,-
Shares Outstanding (Basic),26,26,26,26,26,14,19,6,5
Shares Outstanding (Diluted),26,26,26,26,26,14,19,6,5
Shares Change,-,81.20%,33.25%,331.86%,418.23%,-,-,-,-
EPS (Basic),0.10,0.03,0.04,0.12,0.07,0.05,0.21,-,-
EPS (Diluted),0.10,0.03,0.04,0.12,0.07,0.05,0.21,-,-
EPS Growth,42.86%,-40.00%,-80.95%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.01,-0.00,-0.02,0.03,-0.13,-,-
EBITDA,3.22,1.21,1.31,3.92,2.11,2.64,5.45,-0.16,-0
EBIT,3.22,1.21,1.31,3.92,2.11,2.64,5.45,-0.16,-0
