Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
"Selling, General & Admin",0.34,0.24,0.23,0.34,0.24,0.32,0.23,0.46,0.03,0.01
Operating Expenses,0.34,0.24,0.23,0.34,0.24,0.32,0.23,0.46,0.03,0.01
Operating Income,-0.34,-0.24,-0.23,-0.34,-0.24,-0.32,-0.23,-0.46,-0.03,-0.01
Other Expense / Income,-4.02,-2,-4.43,-3.86,-0.97,-5.3,3.52,-0.13,-,-
Pretax Income,3.68,1.76,4.2,3.52,0.73,4.98,-3.75,-0.33,-0.03,-0.01
Net Income,3.68,1.76,4.2,3.52,0.73,4.98,-3.75,-0.33,-0.03,-0.01
Net Income Growth,402.05%,-64.74%,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),47,47,47,47,47,47,47,42,9,9
Shares Outstanding (Diluted),47,47,47,47,47,47,47,42,9,9
Shares Change,-0.03%,-,-,11.04%,435.86%,435.71%,-,-,-,-
EPS (Basic),0.08,0.04,0.09,0.08,0.02,0.11,-0.08,-0.01,-,-
EPS (Diluted),0.08,0.04,0.09,0.08,0.02,0.11,-0.08,-0.01,-,-
EPS Growth,300.00%,-63.64%,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-,-,-0.00,-0.00,-0.00,-0.00,-0.00,-0.03,-,-
EBITDA,3.68,1.76,4.2,3.52,0.73,4.98,-3.75,-0.33,-0.03,-0.01
EBIT,3.68,1.76,4.2,3.52,0.73,4.98,-3.75,-0.33,-0.03,-0.01
