Metrics,2023-03-31,2022-12-31,2022-09-30,2022-03-31,2021-12-31,2021-09-30,2021-03-31
Revenue,"1,024.11","1,001.85",850.3,833.52,731.13,606.51,-
Revenue Growth (YoY),40.07%,65.18%,-,-,-,-,-
Cost of Revenue,350.68,264.71,263.11,312.95,183.47,138.01,-
Gross Profit,673.43,737.14,587.19,520.58,547.67,468.51,-
"Selling, General & Admin",558.03,697.65,617.72,521.93,632.37,397.25,-
Other Operating Expenses,37.58,56.36,35.62,36.48,18.86,30.88,0
Operating Expenses,595.6,754.02,653.34,558.4,651.23,428.13,-
Operating Income,77.83,-16.88,-66.15,-37.83,-103.56,40.37,-
Other Expense / Income,15.87,0.01,4.31,-26.52,37.98,4.77,-
Pretax Income,61.96,-16.88,-70.46,-11.31,-141.55,35.6,-
Income Tax,50.55,-49.12,-40.45,-14.58,-54.54,0.57,-
Net Income,11.41,32.24,-30.01,3.27,-87.01,35.03,-
Net Income Growth,-,-7.97%,-,-,-,-,-
Shares Outstanding (Basic),402,401,266,266,266,-,-
Shares Change,50.92%,-,-,-,-,-,-
EPS (Basic),0.03,0.08,-0.07,-0.01,-0.02,0.09,-
EPS (Diluted),0.03,0.08,-0.07,-0.01,-0.02,0.09,-
EPS Growth,-,-7.06%,-,-,-,-,-
Free Cash Flow Per Share,1.81,-0.84,-,3.34,-0.65,-,-
Gross Margin,65.76%,73.58%,69.06%,62.45%,74.91%,77.25%,-
Operating Margin,7.60%,-1.68%,-7.78%,-4.54%,-14.16%,6.66%,-
Profit Margin,1.11%,3.22%,-3.53%,0.39%,-11.90%,5.78%,-
Free Cash Flow Margin,70.93%,-33.72%,-,106.69%,-23.74%,-,-
Effective Tax Rate,81.59%,-,-,-,-,1.60%,-
EBITDA,99.34,39.48,-,25.49,-158.6,-,-
EBITDA Margin,9.70%,3.94%,-,3.06%,-21.69%,-,-
Depreciation & Amortization,37.38,56.36,-,36.8,-17.05,-,17.69
EBIT,61.96,-16.88,-70.46,-11.31,-141.55,35.6,-
EBIT Margin,6.05%,-1.69%,-8.29%,-1.36%,-19.36%,5.87%,-
