Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31
Revenue,107.4,106.48,95.22,77.45,78.31,83.76,96.68,83.92,82.62,78.93,31.45,30.6,31.97,35.47,36.86,38.4,36.54,35.97,37.98,37.24,35.54,34.16,34.41,36.02,32.19,30.49,33.95,29.32,31.34,31.85,32.9,27.32,26.37,24.36,19.08,16.11,13.74
Revenue Growth (YoY),37.16%,27.12%,-1.52%,-7.70%,-5.22%,6.12%,207.39%,174.22%,158.41%,122.55%,-14.66%,-20.31%,-12.49%,-1.40%,-2.97%,3.12%,2.80%,5.30%,10.38%,3.39%,10.40%,12.03%,1.36%,22.84%,2.71%,-4.27%,3.20%,7.34%,18.85%,30.76%,72.45%,69.60%,91.96%,-,-,-,-
Cost of Revenue,29.24,9.06,9.16,8.61,9.46,9.13,15.85,9.05,7.7,8.61,2.62,1.47,3.01,5.5,6.11,7.89,4.03,3.43,8.22,8.82,9.49,7.83,8.99,5.59,8.19,5.88,9.75,6.27,5.53,4.6,7.6,8.04,6.98,3.33,4.23,2.11,1.9
Gross Profit,78.17,97.41,86.06,68.84,68.84,74.63,80.84,74.86,74.92,70.32,28.83,29.14,28.97,29.97,30.75,30.52,32.51,32.54,29.77,28.42,26.05,26.33,25.42,30.43,24,24.61,24.2,23.05,25.81,27.26,25.29,19.28,19.39,21.03,14.84,14,11.84
"Selling, General & Admin",2.14,2.19,2.06,2.22,2.19,1.96,1.75,1.84,2.06,1.74,1.37,1.45,1.47,1.66,1.42,1.04,1,2.79,0.93,1.41,1,1.16,0.91,0.84,0.83,1.23,1.11,1.06,1.05,1.2,1.32,0.91,0.92,0.86,0.91,0.76,0.74
Other Operating Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.34,-1.09,0.41,0.37,0.31,0.37,0.3,0.29,0.34,0.55,0.49,0.33,0.31,0.33,0.15,0.37,0.22,0.54,0.16,0.08,0.13
Operating Expenses,2.14,2.19,2.06,2.22,2.19,1.96,1.75,1.84,2.06,1.74,1.37,1.45,1.47,1.66,1.42,1.48,1.33,1.69,1.34,1.78,1.31,1.53,1.21,1.13,1.17,1.77,1.6,1.38,1.35,1.53,1.46,1.28,1.14,1.4,1.07,0.84,0.87
Operating Income,76.03,95.22,84,66.62,66.65,72.67,79.09,73.02,72.86,68.58,27.46,27.68,27.5,28.31,29.33,29.04,31.18,30.84,28.43,26.64,24.74,24.81,24.21,29.3,22.83,22.84,22.6,21.67,24.46,25.73,23.83,17.99,18.26,19.64,13.77,13.16,10.97
Interest Expense / Income,27.26,25.64,21.98,16.18,15.67,15.04,14.45,14.54,14.97,13,8.89,9.11,8.89,8.46,9.9,9.5,8.45,7.9,6.43,6.17,5.72,5.37,4.88,4.84,4.51,4.39,3.63,3.25,3.04,3.05,3.05,2.12,2.49,2.12,1.36,0.63,0.57
Other Expense / Income,19.92,63.95,68.69,30.94,9.99,18.33,26.3,3.2,-2.89,-117.3,-14.24,-16.64,81.96,10.47,10.07,2.96,20.07,23.63,2.55,2.7,0.28,6.71,0.83,19.51,3.39,12.55,-3.99,11.2,15.81,21.24,7.12,-2.12,1.71,13.62,1.16,0.1,0.94
Pretax Income,28.84,5.63,-6.67,19.51,40.99,39.31,38.34,55.28,60.78,172.87,32.82,35.21,-63.35,9.37,9.36,16.58,2.65,-0.69,19.45,17.77,18.74,12.72,18.5,4.95,14.93,5.9,22.96,7.22,5.61,1.44,13.66,17.99,14.06,3.9,11.26,12.43,9.46
Income Tax,0.78,1.96,0.83,0.83,0.83,0.35,0.31,0.31,0.31,0.24,0.38,0.39,0.43,0.47,0.46,0.45,0.44,0.57,0.43,0.3,0.29,0.44,0.38,0.37,0.37,0.31,0.29,0.22,0.21,0.25,0.17,0.07,0.03,0.12,0,0,0
Net Income,28.06,3.67,-7.5,18.68,40.16,38.95,38.03,54.97,60.47,172.64,32.44,34.82,-63.78,8.9,8.9,16.13,2.22,-1.26,19.02,17.47,18.45,12.29,18.11,4.59,14.57,5.59,22.66,7,5.4,1.19,13.48,17.93,14.03,3.78,11.26,12.43,9.46
Net Income Growth,-30.12%,-90.58%,-,-66.02%,-33.59%,-77.44%,17.24%,57.88%,-,1839.07%,264.49%,115.86%,-,-,-53.20%,-7.65%,-88.00%,-,5.01%,280.96%,26.68%,119.86%,-20.08%,-34.50%,169.67%,370.77%,68.09%,-60.95%,-61.51%,-68.56%,19.80%,44.22%,48.31%,-,-,-,-
Shares Outstanding (Basic),105,103,102,102,102,102,102,102,102,54,40,40,40,40,40,40,40,40,40,40,40,40,40,38,36,36,36,36,36,36,36,36,30,29,29,30,30
Shares Outstanding (Diluted),105,103,102,102,102,102,102,102,102,54,40,40,40,40,40,40,40,40,40,40,40,40,40,38,36,36,36,36,36,36,36,36,30,29,29,30,30
Shares Change,2.68%,1.01%,0.63%,0.32%,0.28%,88.73%,151.55%,151.60%,151.47%,33.64%,0.27%,0.26%,0.34%,0.35%,0.35%,0.31%,0.28%,0.20%,0.21%,5.99%,10.48%,10.50%,10.43%,4.38%,0.09%,0.02%,0.08%,0.48%,19.77%,23.48%,23.19%,21.68%,-0.22%,-,-,-,-
EPS (Basic),0.27,0.04,-0.07,0.18,0.39,0.38,0.37,0.54,0.60,3.17,0.80,0.86,-1.58,0.22,0.22,0.40,0.06,-0.03,0.47,0.43,0.46,0.30,0.45,0.12,0.40,0.15,0.62,0.19,0.15,0.01,0.37,0.50,0.46,0.13,0.38,0.42,0.31
EPS (Diluted),0.27,0.04,-0.07,0.18,0.39,0.38,0.37,0.54,0.60,3.17,0.80,0.86,-1.58,0.22,0.22,0.40,0.06,-0.03,0.47,0.43,0.46,0.30,0.45,0.12,0.40,0.15,0.62,0.19,0.15,0.01,0.37,0.50,0.46,0.13,0.38,0.42,0.31
EPS Growth,-30.77%,-89.47%,-,-66.67%,-35.00%,-88.01%,-53.75%,-37.21%,-,1340.91%,263.64%,115.00%,-,-,-53.19%,-6.98%,-86.96%,-,4.44%,258.33%,15.00%,100.00%,-27.42%,-36.84%,166.67%,1400.00%,67.57%,-62.00%,-67.39%,-92.31%,-2.63%,19.05%,48.39%,-,-,-,-
Free Cash Flow Per Share,0.31,1.33,-0.53,-0.93,0.39,-3.21,0.63,1.31,0.98,4.44,0.43,0.33,-2.58,-0.64,3.33,-2.89,-0.68,-1.63,-1.41,1.05,0.77,-2.01,-1.08,1.50,0.49,-0.55,0.35,-0.57,-0.10,1.57,-3.53,-2.09,0.83,-3.28,-6.37,-1.03,1.15
Dividend Per Share,0.450,0.450,0.450,0.450,0.450,0.450,0.500,0.500,0.500,0.450,0.450,0.450,0.450,0.450,0.450,0.450,0.450,0.450,0.450,0.450,0.450,0.450,0.450,0.450,0.450,0.450,0.450,0.450,0.450,0.450,0.450,0.450,-,-,-,-,-
Dividend Growth,0%,0%,-10.00%,-10.00%,-10.00%,0%,11.11%,11.11%,11.11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,-,-,-,-,-,-,-,-
Gross Margin,72.78%,91.49%,90.38%,88.88%,87.92%,89.10%,83.61%,89.21%,90.68%,89.09%,91.67%,95.21%,90.60%,84.49%,83.44%,79.46%,88.97%,90.45%,78.37%,76.31%,73.31%,77.09%,73.87%,84.48%,74.55%,80.72%,71.28%,78.61%,82.36%,85.57%,76.88%,70.56%,73.53%,86.35%,77.81%,86.90%,86.20%
Operating Margin,70.78%,89.43%,88.22%,86.01%,85.12%,86.76%,81.80%,87.02%,88.19%,86.88%,87.31%,90.46%,86.01%,79.81%,79.57%,75.62%,85.33%,85.74%,74.84%,71.54%,69.62%,72.62%,70.36%,81.35%,70.92%,74.90%,66.57%,73.89%,78.04%,80.77%,72.44%,65.86%,69.23%,80.62%,72.19%,81.70%,79.87%
Profit Margin,26.13%,3.44%,-7.88%,24.11%,51.28%,46.51%,39.34%,65.51%,73.19%,218.71%,103.14%,113.78%,-199.49%,25.10%,24.15%,42.00%,6.06%,-3.50%,50.07%,46.91%,51.91%,35.97%,52.63%,12.73%,45.24%,18.33%,66.75%,23.87%,17.23%,3.73%,40.99%,65.62%,53.21%,15.50%,59.00%,77.17%,68.87%
Free Cash Flow Margin,30.05%,128.80%,-56.96%,-122.39%,50.22%,-390.42%,66.20%,158.73%,120.99%,303.25%,54.86%,43.52%,-325.77%,-72.35%,364.01%,-303.38%,-74.63%,-182.77%,-149.00%,113.00%,87.27%,-236.55%,-125.71%,158.00%,55.49%,-65.21%,37.45%,-70.29%,-11.39%,179.15%,-389.72%,-276.62%,95.91%,-395.65%,-983.48%,-189.79%,254.98%
Effective Tax Rate,2.69%,34.81%,-,4.26%,2.03%,0.90%,0.80%,0.56%,0.52%,0.14%,1.14%,1.10%,-,5.00%,4.90%,2.73%,16.54%,-,2.20%,1.71%,1.52%,3.43%,2.07%,7.43%,2.44%,5.24%,1.28%,3.06%,3.79%,17.63%,1.27%,0.36%,0.18%,3.06%,-,-,-
