Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.3,0.2,0.2,0.17,0.23,0.31,0.17,0.11,0
Operating Expenses,0.3,0.2,0.2,0.17,0.23,0.31,0.17,0.11,0
Operating Income,-0.3,-0.2,-0.2,-0.17,-0.23,-0.31,-0.17,-0.11,-0
Other Expense / Income,-4,-4,-4.94,-6.58,-0.51,-9.2,7.84,0.37,-
Pretax Income,3.71,3.81,4.74,6.4,0.27,8.89,-8.01,-0.48,-0
Income Tax,0.69,0.38,0.05,0,0,0,0,0,0
Net Income,3.02,3.43,4.69,6.4,0.27,8.89,-8.01,-0.48,-0
Net Income Growth,1002.01%,-61.48%,-,-,-,-,-,-,-
Shares Outstanding (Basic),50,50,50,50,50,37,50,21,9
Shares Outstanding (Diluted),50,50,50,50,50,37,50,21,9
Shares Change,-,36.14%,-,136.69%,471.43%,-,-,-,-
EPS (Basic),0.06,0.07,0.09,0.13,0.01,0.28,-0.16,-0.02,-
EPS (Diluted),0.06,0.07,0.09,0.13,0.01,0.28,-0.16,-0.02,-
EPS Growth,500.00%,-75.00%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.02,-0.00,-0.00,-0.01,-0.00,-0.00,-0.00,-,-
Effective Tax Rate,18.67%,10.03%,1.06%,-,-,-,-,-,-
EBITDA,3.71,3.81,4.74,6.4,0.27,8.89,-8.01,-0.48,-0
EBIT,3.71,3.81,4.74,6.4,0.27,8.89,-8.01,-0.48,-0
