Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",2.26,0.34,0.36,0.51,0.02,0.01,0
Operating Expenses,2.26,0.34,0.36,0.51,0.02,0.01,0
Operating Income,-2.26,-0.34,-0.36,-0.51,-0.02,-0.01,-0
Other Expense / Income,-2.31,-1.45,-0.25,-0.16,-,-,-
Pretax Income,0.05,1.11,-0.11,-0.35,-0.02,-0.01,-0
Net Income,0.05,1.11,-0.11,-0.35,-0.02,-0.01,-0
Shares Outstanding (Basic),10,10,41,36,10,9,9
Shares Outstanding (Diluted),10,10,41,36,10,9,9
Shares Change,3.33%,14.94%,373.02%,-,-,-,-
EPS (Basic),-,0.03,-,-0.01,-0.01,-,-
EPS (Diluted),-,0.03,-,-0.01,-0.01,-,-
Free Cash Flow Per Share,-0.03,-0.04,-0.00,-0.01,-,-,-
EBITDA,0.05,1.11,-0.11,-0.35,-0.02,-0.01,-
EBIT,0.05,1.11,-0.11,-0.35,-0.02,-0.01,-0
