Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",1.96,0.21,-0.26,0.35,0.56,0,-0
Operating Expenses,1.96,0.21,-0.26,0.35,0.56,0,-0
Operating Income,-1.96,-0.21,0.26,-0.35,-0.56,0,0
Other Expense / Income,-2.65,-0.12,0.12,0.35,-0.01,-,0.01
Pretax Income,0.69,-0.1,0.14,-0.7,-0.55,0,-0
Income Tax,0.43,0.47,0,0,0,0,0
Net Income,0.26,-0.57,0.14,-0.7,-0.56,0,-0
Shares Outstanding (Basic),38,38,38,30,14,6,6
Shares Outstanding (Diluted),38,38,38,30,14,6,6
Shares Change,166.60%,500.00%,500.00%,-,-,-,-
EPS (Basic),-0.06,-0.03,-,-0.02,-0.91,-,-
EPS (Diluted),-0.06,-0.03,-,-0.02,-0.91,-,-
Free Cash Flow Per Share,-0.03,-0.01,-0.00,-0.00,-0.07,-,-
Effective Tax Rate,61.97%,-,-,-,-,-,-
EBITDA,0.69,-0.1,0.14,-0.7,-0.55,0,-0
EBIT,0.69,-0.1,0.14,-0.7,-0.55,0,-0
