Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
"Selling, General & Admin",0.94,0.23,0.37,0,0
Operating Expenses,0.94,0.23,0.37,0,0
Operating Income,-0.94,-0.23,-0.37,-0,-0
Other Expense / Income,-1.1,-0.86,-0.31,-,-
Pretax Income,0.16,0.64,-0.06,-0,-0
Income Tax,0.24,0.17,0.03,0,0
Net Income,-0.08,0.47,-0.09,-0,-0
Shares Outstanding (Basic),13,6,9,3,-
Shares Outstanding (Diluted),13,6,9,3,-
EPS (Basic),-0.01,0.08,-0.01,-,-
EPS (Diluted),-0.01,0.08,-0.01,-,-
Free Cash Flow Per Share,-0.04,-0.01,-0.06,-,-
Effective Tax Rate,147.53%,26.87%,-,-,-
EBITDA,0.16,0.64,-0.06,-,-0
EBIT,0.16,0.64,-0.06,-0,-0
