Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",1.03,0.37,0.39,0.25,-,0.07,0.06
Operating Expenses,1.03,0.37,0.39,0.25,-,0.07,0.06
Operating Income,-1.03,-0.37,-0.39,-0.25,-,-0.07,-0.06
Other Expense / Income,-1.21,-5.05,-1.2,-4.76,-,-,-
Pretax Income,0.18,4.68,0.81,4.52,-,-0.07,-0.06
Income Tax,0.42,0.14,0.04,0,-,0,0
Net Income,-0.25,4.55,0.77,4.52,-,-0.07,-0.06
Shares Outstanding (Basic),29,29,29,29,10,5,5
Shares Outstanding (Diluted),29,29,29,29,-,5,5
Shares Change,200.00%,475.00%,475.00%,-,-,-,-
EPS (Basic),-0.02,0.16,0.03,0.16,-,-0.01,-0.01
EPS (Diluted),-0.02,0.16,0.03,0.16,-,-0.01,-0.01
Free Cash Flow Per Share,-0.01,-0.01,-0.02,-0.01,-,-0.04,-
Effective Tax Rate,239.31%,2.91%,5.21%,-,-,-,-
EBITDA,0.18,4.68,0.81,4.52,-,-0.07,-0.06
EBIT,0.18,4.68,0.81,4.52,-,-0.07,-0.06
