Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.28,0.21,0.34,1.78,0.88,0.05,0
Other Operating Expenses,0.05,0.05,0.05,0.05,-0.07,0.05,0.05
Operating Expenses,0.33,0.26,0.39,1.83,0.81,0.1,0.05
Operating Income,-0.33,-0.26,-0.39,-1.83,-0.81,-0.1,-0.05
Other Expense / Income,-1.69,-0.9,-0.27,-0.02,-0.01,-0,-
Pretax Income,1.36,0.64,-0.12,-1.81,-0.8,-0.1,-0.05
Income Tax,0.34,0.18,0.04,0,0,0,0
Net Income,1.02,0.46,-0.16,-1.81,-0.8,-0.1,-0.05
Shares Outstanding (Basic),25,25,25,25,11,6,5
Shares Outstanding (Diluted),25,25,25,25,11,6,5
Shares Change,130.06%,325.93%,400.00%,-,-,-,-
EPS (Basic),0.04,0.02,-0.01,-0.07,-0.06,-0.02,-0.01
EPS (Diluted),0.04,0.02,-0.01,-0.07,-0.06,-0.02,-0.01
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.04,-,-,-
Effective Tax Rate,25.30%,27.98%,-,-,-,-,-
EBITDA,1.36,0.64,-0.12,-1.81,-,-,-0.05
EBIT,1.36,0.64,-0.12,-1.81,-0.8,-0.1,-0.05
