Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-02-01
"Selling, General & Admin",0.39,0.08,0.31,0.37,0.43,1.67,0.35,0,0,0
Other Operating Expenses,0,0,0,0,0,0,0,0,0.01,0
Operating Expenses,0.39,0.08,0.31,0.37,0.43,1.67,0.35,0,0.01,0
Operating Income,-0.39,-0.08,-0.31,-0.37,-0.43,-1.67,-0.35,0,-0.01,-0
Other Expense / Income,-6.7,-7.29,-5.31,-9.85,-12.59,-4.13,-0.8,-0,-,-
Pretax Income,6.31,7.21,5,9.48,12.17,2.46,0.45,0,-0.01,-0
Net Income,6.31,7.21,5,9.48,12.17,2.46,0.45,0,-0.01,-0
Net Income Growth,-48.13%,192.72%,1016.99%,72947923.08%,-,-,-,-,-,-
Shares Outstanding (Basic),76,76,76,76,76,49,76,13,13,13
Shares Outstanding (Diluted),76,76,76,76,76,49,76,13,13,13
Shares Change,-,56.07%,-,475.00%,509.50%,290.52%,-,-,-,-
EPS (Basic),0.08,0.09,0.07,0.12,0.16,0.05,0.01,-,-,-
EPS (Diluted),0.08,0.09,0.07,0.12,0.16,0.05,0.01,-,-,-
EPS Growth,-50.00%,80.00%,600.00%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-,-0.00,-0.02,-0.02,-,-,-
EBITDA,6.31,7.21,5,9.48,12.17,2.46,0.45,0,-0.01,-0
EBIT,6.31,7.21,5,9.48,12.17,2.46,0.45,0,-0.01,-0
