Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31
Revenue,620.38,497.77,561.04,604.74,701.26,705.6,544.34,548.97,"1,012.57",676.7,656.11,905.9,"1,000.62",399.62,382.34,375.1,362.99,440.42,295.12,328.13,815.05,464.52,271.29,144.89,147.29,170.65,164.81,174.18,192.64,176.9,215.8,181.98,221.53,213.55,173.23,162.98,173.3
Revenue Growth (YoY),-11.53%,-29.46%,3.07%,10.16%,-30.74%,4.27%,-17.03%,-39.40%,1.19%,69.34%,71.60%,141.51%,175.66%,-9.26%,29.55%,14.32%,-55.46%,-5.19%,8.79%,126.47%,453.38%,172.21%,64.61%,-16.82%,-23.54%,-3.54%,-23.63%,-4.29%,-13.04%,-17.16%,24.57%,11.66%,27.83%,-,-,-,-
Cost of Revenue,202.34,198,221.78,212.69,206.22,208.71,214.49,223.2,311.02,236.49,248.1,259.17,228.85,154.39,158.56,153.91,105.87,184.97,108.15,122.11,137.31,134.99,110.58,71.88,70.98,71.22,70.02,73.53,77.45,70.06,77.92,74.05,79.08,85.11,73.12,71.34,70.24
Gross Profit,418.05,299.77,339.27,392.05,495.05,496.89,329.86,325.77,701.55,440.21,408.02,646.74,771.78,245.23,223.78,221.19,257.12,255.44,186.97,206.02,677.74,329.53,160.7,73,76.31,99.43,94.79,100.66,115.19,106.84,137.88,107.93,142.45,128.44,100.12,91.63,103.05
"Selling, General & Admin",127.74,118.57,117.57,112.18,128.7,125.62,102.78,105.6,130.43,87.52,60.41,142.67,197.49,128.93,115.93,115.16,129.92,77.93,62.08,57.84,84.59,92.63,96.52,24.14,26.19,28.27,26.36,26.55,27.48,27.2,29.59,21.83,35.39,26.3,29.16,23.61,27.38
Other Operating Expenses,31.48,37.18,33.21,33.85,35.09,58.34,33.97,38.09,36.06,43.56,37.44,35.76,36.78,38.95,44.95,102.42,66.04,-28.15,41.84,42.41,65.93,47.71,49.97,15.54,7.13,6.91,7.54,8.52,8.38,11.99,9.34,52.43,9.72,10.13,8.82,18.5,7.8
Operating Expenses,159.22,155.74,150.79,146.03,163.78,183.96,136.75,143.69,166.49,131.08,97.85,178.43,234.27,167.88,160.88,217.58,195.96,49.79,103.92,100.25,150.52,140.34,146.5,39.68,33.32,35.18,33.9,35.07,35.85,39.19,38.93,74.27,45.11,36.43,37.98,42.11,35.19
Operating Income,258.83,144.03,188.48,246.03,331.27,312.93,193.1,182.08,535.06,309.13,310.16,468.31,537.51,77.36,62.91,3.62,61.17,205.66,83.05,105.77,527.23,189.2,14.21,33.33,42.99,64.25,60.88,65.59,79.34,67.66,98.95,33.66,97.34,92.01,62.14,49.52,67.87
Interest Expense / Income,121.89,102.95,85.47,70.81,63.87,84.3,46.77,45.08,43.52,47.96,47.73,50.58,67.11,71.49,68.74,71.51,68.16,56.88,50.28,53.79,52.67,57.5,55.84,23.65,19.11,20.07,23.01,21.17,20.64,20.38,20.03,24.1,17.17,20.43,19.54,20,18.01
Other Expense / Income,54.38,13.43,41.27,65.17,113.35,83.51,53.87,47.99,171.58,87,92.92,149.34,171.34,21.54,-0.87,-26.91,2.27,67.07,10.35,23.77,241.29,23.53,-21.6,7.99,16.49,33.03,26,30.91,41.01,34.84,57.23,7.09,-,-,-,-,-
