Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31
Revenue,198.6,167.7,188.7,266.2,211,232.8,247.7,267.5,245.3,210.3,209.5,254,220.7,190.3,195.9,258.9,229.6,200.3,216.9,290.6,255.2,224.8,222.6,290.2,267.3,221,224.4,298,240.1,238.6,231.6,-
Revenue Growth (YoY),-5.88%,-27.96%,-23.82%,-0.49%,-13.98%,10.70%,18.23%,5.31%,11.15%,10.51%,6.94%,-1.89%,-3.88%,-4.99%,-9.68%,-10.91%,-10.03%,-10.90%,-2.56%,0.14%,-4.53%,1.72%,-0.80%,-2.62%,11.33%,-7.38%,-3.11%,-,-,-,-,-
Cost of Revenue,90.3,75.7,83.9,111.7,98.9,92.2,93.1,117.5,110.3,109.7,112.5,137.5,136.3,118.2,121.3,149,153.9,129.8,133.3,165.6,158.6,138.7,140.6,172.7,169.4,146.5,146.4,167.6,158.5,141.7,144.2,-
Gross Profit,108.3,92,104.8,154.5,112.1,140.6,154.6,150,135,100.6,97,116.5,84.4,72.1,74.6,109.9,75.7,70.5,83.6,125,96.6,86.1,82,117.5,97.9,74.5,78,130.4,81.6,96.9,87.4,-
"Selling, General & Admin",70.5,58.5,63.8,77.4,64.3,82.1,77,75.1,73.5,72.8,62.2,72.8,57,46.8,46.2,57.9,54.9,54.4,62.6,75.1,66.1,62.5,54.8,61.4,57.5,54,48.5,59.3,49,48,47.5,-
Other Operating Expenses,23,16.4,14.3,11.2,12.5,17.1,12.6,12.9,10.6,55.2,19.6,39.8,15.5,18.9,-3.7,18.6,14.2,12.7,-41.1,13.7,11.1,13.5,10,14.1,14,15,11.5,12.1,10.1,10.8,11.7,0
Operating Expenses,93.5,74.9,78.1,88.6,76.8,99.2,89.6,88,84.1,128,81.8,112.6,72.5,65.7,42.5,76.5,69.1,67.1,21.5,88.8,77.2,76,64.8,75.5,71.5,69,60,71.4,59.1,58.8,59.2,-
Operating Income,14.8,17.1,26.7,65.9,35.3,41.4,65,62,50.9,-27.4,15.2,3.9,11.9,6.4,32.1,33.4,6.6,3.4,62.1,36.2,19.4,10.1,17.2,42,26.4,5.5,18,59,22.5,38.1,28.2,-
Interest Expense / Income,3.5,3.3,2.3,2.1,1.5,9.5,5.9,5.9,5.3,6,5.9,6.3,4.6,11.5,8.6,9.1,8.9,9.5,8.4,9.8,9,10.2,10.6,11,11.1,11.4,-0.1,0.1,0.3,0.2,0.3,-
Other Expense / Income,-6.9,-0.2,-2.8,-0.3,-0.2,-1.1,-1.7,-1.5,-0.8,-0.4,-0.4,-0.5,-0.4,-10.1,-0.5,-0.5,-0.6,-2.7,-14,-0.8,-0.8,-0.9,-0.8,-0.9,-0.8,-1,-,-,-,-0.1,-,-
Pretax Income,18.2,14,27.2,64.1,34,33,60.8,57.6,46.4,-33,9.7,-1.9,7.7,5,24,24.8,-1.7,-3.4,67.7,27.2,11.2,0.8,7.4,31.9,16.1,-4.9,18.1,58.9,22.2,38,27.9,-
Income Tax,2.4,3.1,8,18.1,7.6,7.4,18.6,14.7,11.2,2.8,2.6,-0.6,3.6,-2,9.3,7.5,-0.3,-2.4,19.7,8.3,3.5,24.5,2.1,13.1,6.8,-4.1,7.9,22.6,8.8,14.8,11.1,-
Net Income,15.8,10.9,19.2,46,26.4,25.6,42.2,42.9,35.2,-35.8,7.1,-1.3,4.1,7,14.7,17.3,-1.4,-1,48,18.9,7.7,-23.7,5.3,18.8,9.3,-0.8,10.2,36.3,13.4,23.2,16.8,-
Net Income Growth,-40.15%,-57.42%,-54.50%,7.23%,-25.00%,-,494.37%,-,758.54%,-,-51.70%,-,-,-,-69.38%,-8.47%,-,-,805.66%,0.53%,-17.20%,-,-48.04%,-48.21%,-30.60%,-,-39.29%,-,-,-,-,-
Shares Outstanding (Basic),29,29,30,32,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,33,34,33,33,33,32,32,32,32,32,32
Shares Outstanding (Diluted),31,31,31,32,34,37,35,35,35,34,34,34,34,35,34,34,34,34,34,34,34,34,34,33,33,34,32,32,32,32,32,-
Shares Change,-11.34%,-15.14%,-10.95%,-6.09%,-0.29%,10.12%,1.46%,1.47%,0.58%,-2.89%,-0.29%,-0.58%,0.88%,1.76%,0.29%,0.59%,0.29%,1.19%,1.18%,3.34%,3.35%,-1.18%,4.32%,1.54%,1.23%,4.94%,-,-,-,-,-,-
EPS (Basic),0.54,0.40,0.64,1.46,0.80,0.79,1.25,1.27,1.05,-1.05,0.21,-0.04,0.12,0.20,0.43,0.51,-0.04,-0.03,1.42,0.56,0.23,-0.72,0.16,0.57,0.29,-0.04,0.31,1.12,0.41,0.72,0.52,-
EPS (Diluted),0.52,0.36,0.62,1.42,0.77,0.66,1.22,1.24,1.02,-1.05,0.21,-0.04,0.12,0.21,0.43,0.51,-0.04,-0.03,1.40,0.56,0.23,-0.72,0.16,0.57,0.28,-0.05,0.31,1.12,0.41,0.72,0.52,-
EPS Growth,-32.47%,-45.45%,-49.18%,14.52%,-24.51%,-,480.95%,-,750.00%,-,-51.16%,-,-,-,-69.29%,-8.93%,-,-,775.00%,-1.75%,-17.86%,-,-48.39%,-49.11%,-31.71%,-,-40.38%,-,-,-,-,-
Free Cash Flow Per Share,-2.13,2.00,2.31,0.98,-1.89,1.91,2.98,0.62,-1.38,2.83,1.99,0.13,-1.29,1.44,2.42,-0.24,-2.45,1.23,1.57,-0.17,-1.78,1.49,1.94,-0.27,-1.30,1.11,2.74,0.19,-1.61,1.60,-,-
Gross Margin,54.53%,54.86%,55.54%,58.04%,53.13%,60.40%,62.41%,56.07%,55.03%,47.84%,46.30%,45.87%,38.24%,37.89%,38.08%,42.45%,32.97%,35.20%,38.54%,43.01%,37.85%,38.30%,36.84%,40.49%,36.63%,33.71%,34.76%,43.76%,33.99%,40.61%,37.74%,-
Operating Margin,7.45%,10.20%,14.15%,24.76%,16.73%,17.78%,26.24%,23.18%,20.75%,-13.03%,7.26%,1.54%,5.39%,3.36%,16.39%,12.90%,2.87%,1.70%,28.63%,12.46%,7.60%,4.49%,7.73%,14.47%,9.88%,2.49%,8.02%,19.80%,9.37%,15.97%,12.18%,-
Profit Margin,7.96%,6.50%,10.17%,17.28%,12.51%,11.00%,17.04%,16.04%,14.35%,-17.02%,3.39%,-0.51%,1.86%,3.68%,7.50%,6.68%,-0.61%,-0.50%,22.13%,6.50%,3.02%,-10.54%,2.38%,6.48%,3.48%,-0.36%,4.55%,12.18%,5.58%,9.72%,7.25%,-
Free Cash Flow Margin,-31.27%,34.88%,36.41%,11.61%,-29.43%,26.93%,40.53%,7.81%,-18.87%,45.22%,32.27%,1.73%,-19.94%,25.75%,42.27%,-3.13%,-36.32%,20.77%,24.62%,-2.00%,-23.51%,22.20%,29.25%,-3.07%,-15.90%,16.74%,39.53%,2.11%,-21.74%,21.67%,-,-
Effective Tax Rate,13.19%,22.14%,29.41%,28.24%,22.35%,22.42%,30.59%,25.52%,24.14%,-,26.80%,-,46.75%,-40.00%,38.75%,30.24%,-,-,29.10%,30.51%,31.25%,3062.50%,28.38%,41.07%,42.24%,-,43.65%,38.37%,39.64%,38.95%,39.78%,-
EBITDA,37.8,34.3,45.3,81.3,50.3,57.3,80.9,77.9,65.9,-10.9,34.5,25.4,30.5,34.8,50.9,51.2,25,18.8,87.7,48.1,30.6,23.8,28.6,53.8,37.4,19.7,27.8,69.8,32,47.9,-,-
EBITDA Margin,19.03%,20.45%,24.01%,30.54%,23.84%,24.61%,32.66%,29.12%,26.87%,-5.18%,16.47%,10.00%,13.82%,18.29%,25.98%,19.78%,10.89%,9.39%,40.43%,16.55%,11.99%,10.59%,12.85%,18.54%,13.99%,8.91%,12.39%,23.42%,13.33%,20.08%,-,-
Depreciation & Amortization,16.1,17,15.8,15.1,14.8,14.8,14.2,14.4,14.2,16.1,18.9,21,18.2,18.3,18.3,17.3,17.8,12.7,11.6,11.1,10.4,12.8,10.6,10.9,10.2,13.2,9.8,10.8,9.5,9.7,-,-
EBIT,21.7,17.3,29.5,66.2,35.5,42.5,66.7,63.5,51.7,-27,15.6,4.4,12.3,16.5,32.6,33.9,7.2,6.1,76.1,37,20.2,11,18,42.9,27.2,6.5,18,59,22.5,38.2,28.2,-
EBIT Margin,10.93%,10.32%,15.63%,24.87%,16.82%,18.26%,26.93%,23.74%,21.08%,-12.84%,7.45%,1.73%,5.57%,8.67%,16.64%,13.09%,3.14%,3.05%,35.09%,12.73%,7.92%,4.89%,8.09%,14.78%,10.18%,2.94%,8.02%,19.80%,9.37%,16.01%,12.18%,-
