Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",1.64,0.7,0.45,0.3,0.1,0.15
Operating Expenses,1.64,0.7,0.45,0.3,0.1,0.15
Operating Income,-1.64,-0.7,-0.45,-0.3,-0.1,-0.15
Other Expense / Income,-1.62,-0.96,-0.23,-0.01,-,-
Pretax Income,-0.02,0.26,-0.22,-0.29,-0.1,-0.15
Net Income,-0.02,0.26,-0.22,-0.29,-0.1,-0.15
Shares Outstanding (Basic),26,26,26,26,7,4
Shares Outstanding (Diluted),26,26,26,26,7,4
Shares Change,291.92%,558.55%,-,-,-,-
EPS (Basic),-0.06,-0.03,-0.02,-0.01,-0.78,-0.04
EPS (Diluted),-0.06,-0.03,-0.02,-0.01,-0.78,-0.04
Free Cash Flow Per Share,0.06,0.01,0.01,-0.01,-0.12,-0.02
EBITDA,-0.02,0.26,-0.22,-0.29,-0.1,-0.15
EBIT,-0.02,0.26,-0.22,-0.29,-0.1,-0.15
