Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30
Revenue,67.53,67.14,67.27,60.83,53.5,55.87,52.37,45.64,49.11,51.11,54.62,44.89,45.22,49.94,49.97
Revenue Growth (YoY),26.23%,20.16%,28.46%,33.30%,8.94%,9.33%,-4.12%,1.66%,8.59%,2.32%,9.29%,-,-,-,-
Gross Profit,67.53,67.14,67.27,60.83,53.5,55.87,52.37,45.64,49.11,51.11,54.62,44.89,45.22,49.94,49.97
"Selling, General & Admin",28.15,24.87,24.47,23.13,23.71,23.54,23.03,20.91,21.64,21.26,21.64,20.98,20.39,21.55,21.31
Other Operating Expenses,10.48,10.7,11.79,11.21,10.69,11.5,10.01,10.48,11.15,11.41,16.24,10.09,11.88,11.95,10.58
Operating Expenses,38.63,35.57,36.26,34.35,34.4,35.03,33.03,31.4,32.79,32.67,37.88,31.07,32.27,33.49,31.89
Operating Income,28.9,31.57,31.01,26.49,19.1,20.84,19.33,14.24,16.31,18.44,16.74,13.82,12.95,16.45,18.09
Pretax Income,28.9,31.57,31.01,26.49,19.1,20.84,19.33,14.24,16.31,18.44,16.74,13.82,12.95,16.45,18.09
Income Tax,7.57,6.81,8.07,6.87,4.94,4.92,4.92,3.83,4.12,4.65,4.26,3.45,3.4,4.45,4.89
Net Income,21.34,24.76,22.94,19.61,14.17,15.92,14.42,10.41,12.19,13.79,12.48,10.37,9.55,12.01,13.2
Net Income Growth,50.64%,55.46%,59.16%,88.44%,16.21%,15.48%,15.51%,0.33%,27.70%,14.83%,-5.42%,-,-,-,-
Shares Outstanding (Basic),31,31,31,31,31,31,31,31,31,31,31,31,31,31,-
Shares Change,-1.22%,-1.37%,-1.31%,-1.07%,-0.00%,0.15%,0.15%,0.45%,0.21%,-,-,-,-,-,-
EPS (Basic),0.69,0.80,0.75,0.64,0.46,0.51,0.46,0.33,0.39,0.44,0.40,0.33,0.30,0.38,0.41
EPS (Diluted),0.69,0.79,0.74,0.63,0.45,0.51,0.46,0.33,0.39,0.44,0.40,0.33,0.30,0.38,0.41
EPS Growth,53.33%,54.90%,60.87%,90.91%,15.38%,15.91%,15.00%,0%,30.00%,15.79%,-2.44%,-,-,-,-
Free Cash Flow Per Share,1.13,1.70,0.85,1.66,0.52,0.55,0.91,0.38,0.36,1.48,0.06,-0.00,0.54,0.98,-
Dividend Per Share,0.100,0.100,0.100,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.080,0.060
Dividend Growth,25.00%,25.00%,25.00%,0%,0%,0%,0%,0%,0%,0%,33.33%,33.33%,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,42.80%,47.02%,46.10%,43.54%,35.70%,37.30%,36.92%,31.21%,33.22%,36.07%,30.65%,30.79%,28.64%,32.94%,36.19%
Profit Margin,31.60%,36.87%,34.11%,32.24%,26.48%,28.50%,27.53%,22.81%,24.82%,26.98%,22.85%,23.11%,21.11%,24.04%,26.40%
Free Cash Flow Margin,51.22%,77.86%,38.97%,84.10%,30.36%,30.35%,53.84%,25.63%,23.00%,89.63%,3.17%,-0.18%,36.93%,61.08%,-
Effective Tax Rate,26.17%,21.58%,26.01%,25.95%,25.84%,23.60%,25.43%,26.92%,25.28%,25.20%,25.44%,24.94%,26.29%,27.02%,27.05%
EBITDA,29.99,32.69,32.17,27.64,20.26,22.04,20.55,15.51,17.47,19.64,19.91,15.35,14.61,18.08,-
EBITDA Margin,44.42%,48.70%,47.82%,45.43%,37.87%,39.44%,39.25%,34.00%,35.57%,38.43%,36.45%,34.19%,32.31%,36.21%,-
Depreciation & Amortization,1.09,1.13,1.16,1.15,1.16,1.19,1.22,1.27,1.16,1.21,3.17,1.53,1.66,1.63,-
EBIT,28.9,31.57,31.01,26.49,19.1,20.84,19.33,14.24,16.31,18.44,16.74,13.82,12.95,16.45,18.09
EBIT Margin,42.80%,47.02%,46.10%,43.54%,35.70%,37.30%,36.92%,31.21%,33.22%,36.07%,30.65%,30.79%,28.64%,32.94%,36.19%
