Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31
Revenue,18.18,16.54,16.32,16.06,14.85,16.72,16.21,6.66,8.29,7.25,7,6.28,6.01,6.92,7.23,5.94,5.97,6.78,6.3,7.51,7.45,6.47,6.54,6.37,6.09,5.85,5.96,5.76,5.53,5.31,5.23,4.64,5.45,4.73,4.84,4.73,17.5,5.11,5.02,4.51
Revenue Growth (YoY),22.40%,-1.06%,0.69%,141.13%,79.09%,130.62%,131.50%,6.10%,37.95%,4.72%,-3.07%,5.65%,0.64%,2.14%,14.72%,-20.82%,-19.87%,4.68%,-3.69%,17.78%,22.46%,10.73%,9.81%,10.68%,10.05%,10.09%,13.80%,24.04%,1.52%,12.21%,8.14%,-1.78%,-68.88%,-7.34%,-3.61%,4.74%,-,-,-,-
Gross Profit,18.18,16.54,16.32,16.06,14.85,16.72,16.21,6.66,8.29,7.25,7,6.28,6.01,6.92,7.23,5.94,5.97,6.78,6.3,7.51,7.45,6.47,6.54,6.37,6.09,5.85,5.96,5.76,5.53,5.31,5.23,4.64,5.45,4.73,4.84,4.73,17.5,5.11,5.02,4.51
"Selling, General & Admin",5.96,6.88,6.58,7.22,6.27,7.26,7.42,3.44,3.24,3.31,3.32,3.31,3.26,3.14,3.21,3.26,2.85,2.92,2.84,2.85,4.11,2.58,2.46,2.52,2.73,2.54,2.45,2.53,2.8,2.78,2.83,2.94,2.97,2.98,2.97,2.87,8.53,2.65,2.65,2.71
Other Operating Expenses,3.56,2.63,2.86,2.88,2.65,5.57,8.58,1.34,1.66,1.62,1.08,1.24,0.96,1.42,1.48,1.15,1.03,1.17,1.18,1.17,0.31,1.33,1.26,1.31,1.19,1.28,1.31,1.27,1.16,1.36,1.34,1.18,1.73,1.28,1.31,1.29,1.99,1.17,1.25,1.09
Operating Expenses,9.52,9.5,9.44,10.1,8.92,12.82,15.99,4.78,4.9,4.94,4.4,4.54,4.23,4.56,4.69,4.41,3.88,4.09,4.03,4.02,4.43,3.92,3.71,3.83,3.92,3.82,3.76,3.8,3.96,4.14,4.18,4.12,4.7,4.26,4.27,4.17,10.52,3.82,3.9,3.8
Operating Income,8.66,7.04,6.88,5.97,5.93,3.89,0.22,1.88,3.4,2.31,2.6,1.74,1.78,2.36,2.54,1.53,2.09,2.69,2.27,3.49,3.03,2.56,2.83,2.55,2.17,2.03,2.2,1.96,1.57,1.17,1.06,0.52,0.75,0.48,0.57,0.56,6.98,1.29,1.13,0.71
Pretax Income,8.66,7.04,6.88,5.97,5.93,3.89,0.22,1.88,3.4,2.31,2.6,1.74,1.78,2.36,2.54,1.53,2.09,2.69,2.27,3.49,3.03,2.56,2.83,2.55,2.17,2.03,2.2,1.96,1.57,1.17,1.06,0.52,0.75,0.48,0.57,0.56,6.98,1.29,1.13,0.71
Income Tax,1.6,1.26,1.2,1.05,0.65,0.75,0.07,0.38,0.78,0.44,0.51,0.33,0.35,0.46,0.43,0.29,0.41,0.53,0.44,0.69,1.87,0.81,0.91,0.81,0.68,0.63,0.69,0.61,0.47,0.33,0.29,0.11,0.19,0.09,0.12,0.06,2.37,0.37,0.31,0.17
Net Income,7.06,5.77,5.69,4.92,5.28,3.14,0.15,1.51,2.62,1.87,2.09,1.4,1.43,1.9,2.12,1.25,1.68,2.16,1.83,2.8,1.15,1.75,1.92,1.74,1.49,1.4,1.51,1.36,1.1,0.84,0.77,0.42,0.57,0.38,0.45,0.51,4.62,0.93,0.82,0.54
Net Income Growth,33.63%,83.94%,3767.35%,227.18%,101.87%,67.81%,-92.96%,7.19%,82.81%,-1.42%,-1.28%,12.68%,-14.92%,-12.18%,15.45%,-55.44%,45.75%,23.78%,-4.58%,61.15%,-22.39%,25.00%,27.15%,28.04%,35.18%,66.39%,96.87%,226.51%,94.69%,119.63%,72.36%,-17.98%,-87.76%,-58.70%,-45.47%,-5.95%,-,-,-,-
Shares Outstanding (Basic),5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-,-,-
Shares Outstanding (Diluted),-,5,5,5,-,5,5,3,-,-,3,3,-,3,3,3,-,3,3,3,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shares Change,0.36%,0.19%,0.50%,95.92%,95.57%,96.70%,96.25%,1.24%,0.83%,0.90%,0.82%,0.26%,0.80%,0.02%,0.02%,0.16%,0.48%,0.73%,1.20%,2.16%,1.77%,2.25%,2.15%,0.98%,-2.75%,-2.75%,-12.27%,-12.27%,-9.78%,-9.70%,-0.28%,-0.06%,0.35%,-,-,-,-,-,-,-
EPS (Basic),1.32,1.08,1.07,0.93,1.08,0.59,0.03,0.55,0.97,0.69,0.77,0.52,0.53,0.71,0.79,0.46,0.63,0.81,0.69,1.05,0.44,0.66,0.73,0.67,0.57,0.54,0.58,0.52,0.40,0.31,0.27,0.14,0.19,0.13,0.14,0.17,1.55,0.32,0.27,0.18
EPS (Diluted),1.32,1.08,1.06,0.92,1.07,0.59,0.03,0.55,0.97,0.69,0.77,0.52,0.53,0.71,0.79,0.46,0.63,0.80,0.68,1.04,0.43,0.65,0.72,0.66,0.56,0.54,0.57,0.52,0.40,0.31,0.27,0.14,0.19,0.13,0.14,0.17,1.55,0.32,0.27,0.18
