Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",2.21,-0.08,-0.36,0.47,0.02,-0,-0
Operating Expenses,2.21,-0.08,-0.36,0.47,0.02,-0,-0
Operating Income,-2.21,0.08,0.36,-0.47,-0.02,0,0
Other Expense / Income,-4.9,-1.49,0.16,-7.25,-0,0,0
Pretax Income,2.69,1.57,0.19,6.77,-0.01,-0,-0
Income Tax,0.34,0.18,0.04,0,0,0,0
Net Income,2.35,1.4,0.15,6.77,-0.01,-0,-0
Shares Outstanding (Basic),24,24,24,19,4,4,4
Shares Outstanding (Diluted),24,24,24,19,4,4,4
Shares Change,450.24%,449.91%,449.91%,-,-,-,-
EPS (Basic),0.10,0.06,0.01,0.36,-,-,-
EPS (Diluted),0.10,0.06,0.01,0.36,-,-,-
Free Cash Flow Per Share,-0.01,0.00,-0.01,-0.08,-,-,-
Effective Tax Rate,12.63%,11.17%,19.32%,-,-,-,-
EBITDA,2.69,1.57,0.19,6.77,-0.01,-0,-0
EBIT,2.69,1.57,0.19,6.77,-0.01,-0,-0
