Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",1.83,0.6,0.34,0.51,0.55,-,0,0.01
Operating Expenses,1.83,0.6,0.34,0.51,0.55,-,0,0.01
Operating Income,-1.83,-0.6,-0.34,-0.51,-0.55,-,-0,-0.01
Other Expense / Income,3.43,-2.39,-3.42,-2.79,-4.06,-,-,-
Pretax Income,-5.25,1.79,3.08,2.28,3.51,-,-0,-0.01
Income Tax,0.42,0.36,0.19,0.03,0,-,0,0
Net Income,-5.68,1.43,2.89,2.26,3.51,-,-0,-0.01
Shares Outstanding (Basic),25,25,25,25,25,11,5,3
Shares Outstanding (Diluted),25,25,25,25,25,-,5,3
Shares Change,-1.58%,137.02%,400.00%,783.93%,-,-,-,-
EPS (Basic),-0.23,0.05,0.12,0.09,0.14,-,-,-
EPS (Diluted),-0.23,0.05,0.12,0.09,0.14,-,-,-
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.01,-0.02,-0.09,-,-0.00
Effective Tax Rate,-,20.28%,6.06%,1.16%,-,-,-,-
EBITDA,-5.25,1.79,3.08,2.28,3.51,-,-0,-0.01
EBIT,-5.25,1.79,3.08,2.28,3.51,-,-0,-0.01
