Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
Revenue,73.15,93.85,72.88,70.51,68.27,76.36,66.72,67.98,63.12,57.79,57.17,57.39,43.67,62.4,64.7,61.59,59.43,66.24,61.25,62.28,52.68,43.96,50.68,42.56,42.26,54,40.81,41.38,35.53,38.2,33.2,40.14,41.73
Revenue Growth (YoY),7.14%,22.90%,9.22%,3.71%,8.17%,32.12%,16.71%,18.46%,44.53%,-7.38%,-11.63%,-6.82%,-26.52%,-5.80%,5.62%,-1.11%,12.82%,50.68%,20.86%,46.33%,24.67%,-18.60%,24.18%,2.86%,18.92%,41.36%,22.91%,3.09%,-14.84%,-,-,-,-
Gross Profit,73.15,93.85,72.88,70.51,68.27,76.36,66.72,67.98,63.12,57.79,57.17,57.39,43.67,62.4,64.7,61.59,59.43,66.24,61.25,62.28,52.68,43.96,50.68,42.56,42.26,54,40.81,41.38,35.53,38.2,33.2,40.14,41.73
"Selling, General & Admin",35.7,33.82,33.86,32.95,32.19,32.56,33.23,32.86,30.94,33.14,32.44,31.28,32.39,35.64,35.96,31.59,32.85,34.31,39.52,34.69,38.33,25.62,33.41,29.07,23.74,24.14,23.14,23.52,21.96,20.34,21.44,23.21,24.56
Other Operating Expenses,8.78,16.12,9.64,8.39,8.7,13.2,8.06,16.09,8.14,13.91,21.46,10.12,9.28,10.69,12.06,8.61,8.25,11.53,10.53,11.57,11.17,6.52,14.95,8.58,7.05,9.95,5.52,7.39,5.68,7.44,6.38,7.49,6.99
Operating Expenses,44.48,49.94,43.5,41.34,40.88,45.76,41.29,48.94,39.08,47.05,53.9,41.4,41.67,46.33,48.03,40.19,41.1,45.83,50.05,46.26,49.5,32.13,48.36,37.65,30.79,34.09,28.66,30.9,27.64,27.78,27.82,30.7,31.55
Operating Income,28.67,43.9,29.38,29.17,27.39,30.6,25.43,19.04,24.04,10.75,3.27,15.99,2.01,16.07,16.67,21.39,18.34,20.41,11.2,16.02,3.18,11.83,2.32,4.92,11.47,19.91,12.15,10.47,7.9,10.42,5.38,9.43,10.18
Other Expense / Income,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.46,0.27,0.19,-,4.06,-,-,-,-,-,-,-,-0.08,0.01,0.02,0.06
Pretax Income,28.67,43.9,29.38,29.17,27.39,30.6,25.43,19.04,24.04,10.75,3.27,15.99,2.01,16.07,16.67,21.39,18.34,20.86,10.93,15.83,3.18,7.77,2.32,4.92,11.47,19.91,12.15,10.47,7.9,10.51,5.37,9.42,10.12
Income Tax,6.89,11.03,5.86,7.28,6.64,7.49,5.88,-1.08,5.5,2.41,3.18,3.42,0.46,3.28,4.02,5.04,4.35,4.53,2.44,3.05,1.38,5.78,0.28,1.38,2.98,8.33,4.1,3.68,2.78,2.81,1.93,2.76,3.59
Net Income,21.77,32.87,23.52,21.88,20.75,23.11,19.55,20.12,18.54,8.33,0.09,12.57,1.55,12.79,12.66,16.36,13.98,16.34,8.5,12.78,1.81,1.99,2.04,3.54,8.49,11.58,8.05,6.79,5.12,7.7,3.45,6.65,6.53
Preferred Dividends,2.23,3.17,0,0,0,0,0,0,0,0,0,0,0,0,-0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.02,0,0,0,0,0,0,0,0,0
Net Income Common,19.54,29.7,23.52,21.88,20.75,23.11,19.55,20.12,18.54,8.33,0.09,12.57,1.55,12.79,12.68,16.32,13.95,16.3,8.46,12.75,1.77,1.95,2.01,3.52,8.49,11.58,8.05,6.79,5.12,7.7,3.45,6.65,6.53
Net Income Growth,-5.81%,28.55%,20.32%,8.74%,11.93%,177.30%,22630.23%,60.11%,1096.77%,-34.86%,-99.32%,-22.99%,-88.89%,-21.53%,49.81%,28.05%,688.02%,734.29%,321.20%,262.10%,-79.15%,-83.13%,-75.05%,-48.15%,65.85%,50.53%,133.70%,2.04%,-21.62%,-,-,-,-
Shares Outstanding (Basic),22,22,22,22,22,22,23,23,23,23,23,23,24,25,24,24,24,24,24,24,21,19,19,17,16,16,16,13,12,12,12,12,12
Shares Outstanding (Diluted),23,22,22,22,22,22,23,23,23,23,23,23,25,25,25,24,24,24,24,24,21,20,20,17,16,16,16,14,12,12,12,12,12
Shares Change,0.68%,0.60%,-0.83%,-1.40%,-1.01%,-1.33%,-1.57%,-2.84%,-7.99%,-8.58%,-7.08%,-3.96%,1.38%,2.31%,1.47%,0.14%,13.36%,22.66%,23.45%,40.12%,30.58%,23.33%,24.25%,27.03%,33.71%,32.13%,30.73%,12.70%,1.36%,-,-,-,-
EPS (Basic),0.86,1.31,1.04,0.97,0.92,1.02,0.86,0.88,0.81,0.36,-,0.53,0.06,0.52,0.51,0.67,0.58,0.69,0.35,0.53,0.08,0.08,0.10,0.21,0.54,0.76,0.51,0.51,0.43,0.64,0.29,0.56,0.55
EPS (Diluted),0.86,1.31,1.04,0.97,0.92,1.02,0.86,0.88,0.81,0.36,-,0.53,0.06,0.51,0.51,0.67,0.57,0.68,0.35,0.52,0.08,0.09,0.10,0.20,0.52,0.74,0.51,0.50,0.42,0.64,0.28,0.55,0.54
EPS Growth,-6.52%,28.43%,20.93%,10.23%,13.58%,183.33%,-,66.04%,1250.00%,-29.41%,-,-20.90%,-89.47%,-25.00%,45.71%,28.85%,612.50%,655.56%,250.00%,160.00%,-84.62%,-87.84%,-80.39%,-60.00%,23.81%,15.63%,82.14%,-9.09%,-22.22%,-,-,-,-
Free Cash Flow Per Share,0.59,1.31,2.26,5.16,1.74,1.46,3.71,2.58,7.01,4.09,8.22,6.92,2.20,3.69,16.01,0.90,1.20,1.24,1.13,-0.14,1.75,0.58,0.44,0.15,2.95,-0.44,3.58,1.61,-4.05,0.04,4.46,-1.53,2.68
Dividend Per Share,0.300,0.290,0.290,0.290,0.290,0.280,0.280,0.280,0.280,0.268,0.268,0.268,0.268,0.242,0.243,0.242,0.242,0.220,0.220,0.220,0.220,0.200,0.200,0.200,0.200,0.180,0.180,-,-,-,-,-,-
Dividend Growth,3.45%,3.57%,3.57%,3.57%,3.57%,4.48%,4.48%,4.48%,4.48%,10.74%,10.29%,10.74%,10.74%,10.00%,10.45%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,11.11%,11.11%,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,39.19%,46.78%,40.32%,41.37%,40.12%,40.07%,38.11%,28.01%,38.09%,18.59%,5.72%,27.87%,4.59%,25.76%,25.77%,34.74%,30.85%,30.81%,18.29%,25.71%,6.04%,26.90%,4.57%,11.55%,27.15%,36.87%,29.78%,25.31%,22.22%,27.29%,16.20%,23.50%,24.40%
Profit Margin,26.72%,31.65%,32.28%,31.04%,30.39%,30.26%,29.30%,29.60%,29.37%,14.42%,0.15%,21.90%,3.55%,20.50%,19.60%,26.50%,23.47%,24.61%,13.82%,20.47%,3.36%,4.45%,3.96%,8.27%,20.09%,21.45%,19.73%,16.41%,14.41%,20.14%,10.38%,16.58%,15.65%
Free Cash Flow Margin,18.08%,31.24%,69.23%,163.15%,56.63%,42.54%,125.36%,85.86%,250.12%,160.36%,329.98%,281.22%,123.28%,145.26%,606.09%,35.16%,48.32%,44.90%,44.14%,-5.46%,69.31%,25.42%,16.76%,5.95%,109.69%,-12.78%,136.68%,52.08%,-136.40%,1.23%,159.91%,-45.38%,76.47%
Effective Tax Rate,24.05%,25.12%,19.94%,24.97%,24.24%,24.49%,23.13%,-5.69%,22.89%,22.45%,97.37%,21.41%,22.74%,20.40%,24.09%,23.55%,23.75%,21.70%,22.28%,19.24%,43.24%,74.36%,12.09%,28.01%,26.00%,41.82%,33.75%,35.17%,35.17%,26.75%,35.88%,29.34%,35.48%
EBITDA,31.59,46.87,32.43,32.14,30.48,33.77,28.68,22.36,27.4,14.11,7.83,19.95,6.11,20.3,21.03,25.3,22.46,24.33,12.58,19.84,7.17,5.89,6.34,8.09,14.49,23.44,15.62,13.72,11.02,13.73,8.49,13.79,12.02
EBITDA Margin,43.18%,49.94%,44.50%,45.58%,44.65%,44.23%,42.99%,32.90%,43.41%,24.42%,13.70%,34.76%,14.00%,32.53%,32.51%,41.07%,37.78%,36.73%,20.55%,31.86%,13.62%,13.41%,12.50%,19.01%,34.28%,43.41%,38.27%,33.15%,31.02%,35.93%,25.56%,34.36%,28.82%
Depreciation & Amortization,2.92,2.97,3.05,2.97,3.09,3.17,3.25,3.32,3.36,3.37,4.56,3.95,4.11,4.22,4.36,3.9,4.12,3.47,1.65,4.01,3.99,-1.87,4.02,3.18,3.02,3.53,3.47,3.25,3.13,3.22,3.11,4.38,1.9
EBIT,28.67,43.9,29.38,29.17,27.39,30.6,25.43,19.04,24.04,10.75,3.27,15.99,2.01,16.07,16.67,21.39,18.34,20.86,10.93,15.83,3.18,7.77,2.32,4.92,11.47,19.91,12.15,10.47,7.9,10.51,5.37,9.42,10.12
EBIT Margin,39.19%,46.78%,40.32%,41.37%,40.12%,40.07%,38.11%,28.01%,38.09%,18.59%,5.72%,27.87%,4.59%,25.76%,25.77%,34.74%,30.85%,31.50%,17.85%,25.41%,6.04%,17.67%,4.57%,11.55%,27.15%,36.87%,29.78%,25.31%,22.22%,27.50%,16.18%,23.46%,24.26%
