Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
"Selling, General & Admin",0.33,0.2,0.32,0.22,0.22,0.14,0.11,0.11,0.04,0.02
Other Operating Expenses,-0.24,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.12,0
Operating Expenses,0.09,0.25,0.37,0.27,0.27,0.19,0.16,0.16,0.16,0.02
Operating Income,-0.09,-0.25,-0.37,-0.27,-0.27,-0.19,-0.16,-0.16,-0.16,-0.02
Other Expense / Income,-0.48,-0.45,-0.6,-4.09,-0.22,-1.35,1.99,-2.29,0.13,-
Pretax Income,0.38,0.2,0.23,3.82,-0.05,1.16,-2.15,2.13,-0.29,-0.02
Income Tax,0.06,0,0,0,0,0,0,0,0,0
Net Income,0.32,0.2,0.23,3.82,-0.05,1.16,-2.15,2.13,-0.29,-0.02
Net Income Growth,-,-83.16%,-,79.38%,-,-,-,-,-,-
Shares Outstanding (Basic),4,5,12,14,14,14,9,14,5,3
Shares Outstanding (Diluted),4,5,12,14,14,14,9,14,5,3
Shares Change,-74.65%,-63.97%,29.35%,-,208.91%,475.00%,-,-,-,-
EPS (Basic),0.06,0.04,0.03,0.27,-,0.08,-0.30,0.15,-0.06,-0.01
EPS (Diluted),0.06,0.04,0.03,0.27,-,0.08,-0.30,0.15,-0.06,-0.01
EPS Growth,-,-50.00%,-,80.00%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.08,-0.04,-0.04,-0.02,-0.01,-0.01,-0.01,-0.01,-0.03,-
Effective Tax Rate,16.76%,-,-,-,-,-,-,-,-,-
EBITDA,0.38,0.2,0.23,3.82,-0.05,1.16,-2.15,2.13,-0.29,-0.02
EBIT,0.38,0.2,0.23,3.82,-0.05,1.16,-2.15,2.13,-0.29,-0.02
