Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2017-12-31
Revenue,4.81,143.45,146.98,145.21,205.01,160.53,139.52,120.19,110.24,114.62,93.73,46.12,80.6,131.61,114.47,102.11,98.66,118.02,102.62,-
Revenue Growth (YoY),-97.66%,-10.64%,5.35%,20.82%,85.97%,40.05%,48.86%,160.63%,36.78%,-12.91%,-18.12%,-54.84%,-18.31%,11.52%,11.55%,-,-,-,-,-
Gross Profit,4.81,143.45,146.98,145.21,205.01,160.53,139.52,120.19,110.24,114.62,93.73,46.12,80.6,131.61,114.47,102.11,98.66,118.02,102.62,-
"Selling, General & Admin",75.66,75.82,76.14,87.93,83.83,83.18,63.83,62.47,60.72,53.26,58.43,50.38,54.22,56.88,57.24,45.57,43.5,43.95,39.76,-
Other Operating Expenses,70.68,75.55,183.21,69.95,63.52,56.46,47.57,47.91,45.55,46.7,43.13,42.64,44.39,43.58,42.81,37.64,35.19,39.25,33.78,0
Operating Expenses,146.34,151.37,259.35,157.89,147.34,139.64,111.4,110.39,106.27,99.96,101.57,93.02,98.61,100.46,100.05,83.22,78.69,83.2,73.54,-
Operating Income,-141.53,-7.92,-112.36,-12.67,57.67,20.89,28.12,9.8,3.98,14.66,-7.84,-46.9,-18.02,31.15,14.42,18.9,19.97,34.81,29.08,-
Other Expense / Income,-,-,-,-,-,-,-,-,-,-,-,-,-,18.9,37.46,12.25,12.93,21.52,18.27,-
Pretax Income,-141.53,-7.92,-112.36,-12.67,57.67,20.89,28.12,9.8,3.98,14.66,-7.84,-46.9,-18.02,12.25,-23.04,6.65,7.04,13.3,10.81,-
Income Tax,-39.44,0.5,-6.54,-3.52,12.01,6.73,5.14,2.55,0.96,6.15,-1.79,-12.65,-4.72,7.99,4.39,5.11,5.35,9.54,8.24,-
Net Income,-102.09,-8.42,-105.83,-9.16,45.66,14.17,22.98,7.25,3.02,8.51,-6.05,-34.25,-13.3,4.26,-27.43,1.54,1.69,3.75,2.57,-
Net Income Growth,-,-,-,-,1412.52%,66.40%,-,-,-,99.74%,-,-,-,13.53%,-,-,-,-,-,-
Shares Outstanding (Basic),34,33,33,33,32,29,28,28,28,28,27,27,27,9,4,3,3,3,3,2
Shares Outstanding (Diluted),34,33,33,33,33,31,31,30,30,28,27,27,27,11,4,3,3,4,4,-
Shares Change,1.97%,6.82%,8.22%,9.25%,12.50%,12.64%,11.09%,10.35%,9.64%,156.66%,539.46%,821.32%,715.10%,198.27%,7.61%,22.15%,-,-,-,-
EPS (Basic),-3.00,-0.25,-3.21,-0.28,1.42,0.49,0.82,0.26,0.11,0.32,-0.22,-1.26,-0.49,0.46,-6.39,0.52,0.57,1.22,0.97,-
EPS (Diluted),-3.00,-0.25,-3.21,-0.28,1.37,0.45,0.75,0.24,0.10,0.32,-0.22,-1.26,-0.49,0.40,-6.39,0.52,0.51,1.05,0.64,-
EPS Growth,-,-,-,-,1270.00%,40.63%,-,-,-,-20.00%,-,-,-,-61.90%,-,-,-,-,-,-
Free Cash Flow Per Share,1.92,2.30,1.65,1.22,0.87,1.80,1.54,1.04,0.45,0.43,1.44,1.27,1.67,4.54,14.33,15.56,14.44,10.14,10.19,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-
Operating Margin,-2945.54%,-5.52%,-76.45%,-8.73%,28.13%,13.01%,20.16%,8.16%,3.61%,12.79%,-8.36%,-101.70%,-22.35%,23.67%,12.59%,18.51%,20.24%,29.50%,28.34%,-
Profit Margin,-2124.66%,-5.87%,-72.00%,-6.31%,22.27%,8.82%,16.47%,6.03%,2.74%,7.43%,-6.45%,-74.27%,-16.50%,3.24%,-23.96%,1.51%,1.71%,3.18%,2.50%,-
Free Cash Flow Margin,1354.24%,53.31%,37.05%,27.64%,13.62%,32.24%,31.19%,24.30%,11.34%,10.29%,42.24%,75.18%,55.89%,32.22%,53.75%,44.83%,43.01%,25.23%,26.14%,-
Effective Tax Rate,-,-,-,-,20.82%,32.19%,18.29%,26.04%,24.05%,41.94%,-,-,-,65.21%,-,76.81%,76.03%,71.76%,76.27%,-
EBITDA,-128.14,4.99,-100.08,-1.03,68.37,27.61,33.81,17.55,10.93,20.01,-2.72,-41.8,-13.36,16.69,-19.45,9.84,9.92,16.42,13.8,-
EBITDA Margin,-2666.89%,3.48%,-68.09%,-0.71%,33.35%,17.20%,24.23%,14.60%,9.92%,17.45%,-2.91%,-90.64%,-16.57%,12.68%,-16.99%,9.63%,10.06%,13.91%,13.45%,-
Depreciation & Amortization,13.39,12.91,12.28,11.64,10.7,6.72,5.69,7.74,6.96,5.34,5.12,5.1,4.66,4.44,3.59,3.19,2.88,3.13,2.99,-
EBIT,-141.53,-7.92,-112.36,-12.67,57.67,20.89,28.12,9.8,3.98,14.66,-7.84,-46.9,-18.02,12.25,-23.04,6.65,7.04,13.3,10.81,-
EBIT Margin,-2945.54%,-5.52%,-76.45%,-8.73%,28.13%,13.01%,20.16%,8.16%,3.61%,12.79%,-8.36%,-101.70%,-22.35%,9.31%,-20.13%,6.51%,7.14%,11.27%,10.53%,-
