Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",0.75,0.3,0.17,0.07,0.3,0.01
Operating Expenses,0.75,0.3,0.17,0.07,0.3,0.01
Operating Income,-0.75,-0.3,-0.17,-0.07,-0.3,-0.01
Other Expense / Income,-0.65,-0.53,-0.16,-0.01,-0,-
Pretax Income,-0.1,0.22,-0.01,-0.06,-0.3,-0.01
Net Income,-0.1,0.22,-0.01,-0.06,-0.3,-0.01
Shares Outstanding (Basic),3,3,3,3,3,2
Shares Outstanding (Diluted),3,3,3,3,3,2
Shares Change,13.42%,65.71%,-,-,-,-
EPS (Basic),-0.02,0.07,-,-0.02,-0.09,-0.01
EPS (Diluted),-0.02,0.07,-,-0.02,-0.09,-0.01
Free Cash Flow Per Share,-0.00,-0.06,-0.03,-0.12,-0.08,-
EBITDA,-0.1,0.22,-0.01,-0.06,-0.3,-0.01
EBIT,-0.1,0.22,-0.01,-0.06,-0.3,-0.01
