Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.25,1.21,0.33,0.19,0.26,0.99,2.13,0.22,0.01
Operating Expenses,0.25,1.21,0.33,0.19,0.26,0.99,2.13,0.22,0.01
Operating Income,-0.25,-1.21,-0.33,-0.19,-0.26,-0.99,-2.13,-0.22,-0.01
Other Expense / Income,-3.12,-3.33,-3.72,-6.87,-0.79,-2.5,-0.17,-4.85,-
Pretax Income,2.87,2.12,3.39,6.68,0.53,1.51,-1.96,4.63,-0.01
Net Income,2.87,2.12,3.39,6.68,0.53,1.51,-1.96,4.63,-0.01
Net Income Growth,441.13%,41.04%,-,44.34%,-,-,-,-,-
Shares Outstanding (Basic),30,30,30,30,28,30,30,25,8
Shares Outstanding (Diluted),30,30,30,30,28,30,30,25,8
Shares Change,6.45%,-,-,18.42%,275.76%,-,-,-,-
EPS (Basic),0.07,0.06,0.09,0.18,0.01,0.04,-0.05,0.14,-
EPS (Diluted),0.07,0.06,0.09,0.18,0.01,0.04,-0.05,0.14,-
EPS Growth,600.00%,50.00%,-,28.57%,-,-,-,-,-
Free Cash Flow Per Share,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.02,-
EBITDA,2.87,2.12,3.39,6.68,0.53,1.51,-1.96,4.63,-0.01
EBIT,2.87,2.12,3.39,6.68,0.53,1.51,-1.96,4.63,-0.01
