Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31
Revenue,87.33,93.55,75.3,70.27,68.74,73.53,72.39,72.34,70.96,60.87,55.04,43.96,36.42,52.54,53.3,52.16,52.63,50.93,49.23,47.47,46.05,42.69,35.58,35.27,37.61
Revenue Growth (YoY),27.06%,27.24%,4.03%,-2.86%,-3.13%,20.80%,31.53%,64.55%,94.82%,15.86%,3.25%,-15.72%,-30.79%,3.16%,8.27%,9.87%,14.28%,19.29%,38.36%,34.60%,22.43%,-,-,-,-
Gross Profit,87.33,93.55,75.3,70.27,68.74,73.53,72.39,72.34,70.96,60.87,55.04,43.96,36.42,52.54,53.3,52.16,52.63,50.93,49.23,47.47,46.05,42.69,35.58,35.27,37.61
"Selling, General & Admin",46.91,45.85,43.24,37.5,35.83,34.32,32.77,31.26,30.97,31.5,31.57,32.34,30.36,30.74,30.2,31.71,30.52,29.87,29.49,27.61,25.3,26.1,25.63,25.01,23.67
Other Operating Expenses,9.85,11.4,13,6.65,6.94,6.02,6.39,6.57,8.47,7.38,7.16,5.88,5.73,5.8,4.86,5.38,4.86,5.15,4.85,4.4,4.56,5.68,14.82,5.66,4.12
Operating Expenses,56.76,57.25,56.24,44.15,42.77,40.35,39.17,37.83,39.44,38.88,38.73,38.22,36.1,36.53,35.06,37.1,35.38,35.02,34.34,32.01,29.86,31.77,40.44,30.67,27.79
Operating Income,30.57,36.3,19.06,26.12,25.96,33.18,33.22,34.51,31.52,21.98,16.3,5.74,0.33,16,18.24,15.07,17.24,15.9,14.89,15.46,16.19,10.92,-4.86,4.6,9.83
Pretax Income,30.57,36.3,19.06,26.12,25.96,33.18,33.22,34.51,31.52,21.98,16.3,5.74,0.33,16,18.24,15.07,17.24,15.9,14.89,15.46,16.19,10.92,-4.86,4.6,9.83
Income Tax,6.27,6.82,2.82,4.81,5.28,4.86,6.24,6.77,6.01,4.43,3.21,0.79,-0.43,3.18,3.62,2.78,3.09,2.73,2.57,2.76,2.78,5.15,-2.69,0.77,2.58
Net Income,24.3,29.48,16.24,21.31,20.68,28.32,26.98,27.73,25.51,17.55,13.1,4.96,0.75,12.83,14.62,12.28,14.16,13.18,12.32,12.7,13.41,5.77,-2.17,3.82,7.25
Preferred Dividends,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.05,0.85,1.67,1.31,1.12,1.22,1.38
Net Income Common,24.3,29.48,16.24,21.31,20.68,28.32,26.98,27.73,25.51,17.55,13.1,4.96,0.75,12.83,14.62,12.28,14.16,13.09,12.26,11.85,11.74,4.46,-3.29,2.61,5.87
Net Income Growth,17.50%,4.08%,-39.79%,-23.16%,-18.93%,61.36%,106.02%,459.47%,3288.18%,36.84%,-10.41%,-59.64%,-94.68%,-2.04%,19.19%,3.62%,20.58%,193.39%,-,354.87%,100.15%,-,-,-,-
Shares Outstanding (Basic),31,31,24,24,24,23,24,23,24,24,24,23,24,23,23,24,24,24,24,23,22,22,-,-,-
Shares Change,29.56%,30.55%,1.30%,1.19%,1.01%,-0.04%,0.00%,0.06%,-0.00%,0.11%,0.11%,-1.14%,-1.00%,-0.59%,-0.43%,5.21%,7.82%,7.24%,-,-,-,-,-,-,-
EPS (Basic),0.79,0.98,0.57,0.90,0.87,1.20,1.15,1.18,1.09,0.75,0.56,0.21,0.03,0.55,0.62,0.52,0.60,0.55,0.52,0.54,0.60,0.23,-0.17,0.13,0.30
EPS (Diluted),0.79,0.98,0.57,0.90,0.87,1.20,1.14,1.17,1.08,0.75,0.56,0.21,0.03,0.55,0.62,0.52,0.60,0.56,0.52,0.53,0.60,0.23,-0.17,0.13,0.30
EPS Growth,-9.20%,-18.33%,-50.00%,-23.08%,-19.44%,60.00%,103.57%,457.14%,3500.00%,36.36%,-9.68%,-59.62%,-95.00%,-1.79%,19.23%,-1.89%,0%,143.48%,-,307.69%,100.00%,-,-,-,-
