Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
"Selling, General & Admin",0.49,0.22,0.19,0.8,-
Operating Expenses,0.49,0.22,0.19,0.8,-
Operating Income,-0.49,-0.22,-0.19,-0.8,-
Other Expense / Income,-1.65,-1.37,-1.39,-3.9,-
Pretax Income,1.15,1.15,1.2,3.1,-
Net Income,1.15,1.15,1.2,3.1,-
Shares Outstanding (Basic),26,26,26,17,5
Shares Outstanding (Diluted),26,26,26,17,-
Shares Change,411.54%,-,-,-,-
EPS (Basic),-0.52,0.05,0.05,0.19,-
EPS (Diluted),-0.52,0.05,0.05,0.19,-
Free Cash Flow Per Share,-0.00,-0.01,-0.01,-0.04,-
EBITDA,1.15,1.15,1.2,3.1,-
EBIT,1.15,1.15,1.2,3.1,-
