Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.99,0.59,0.22,0.23,0.26,0,0.01,0,0
Other Operating Expenses,-0.05,0.06,0.17,0,0.09,0,0,0,0
Operating Expenses,0.94,0.65,0.4,0.23,0.34,0,0.01,0,0
Operating Income,-0.94,-0.65,-0.4,-0.23,-0.34,-0,-0.01,-0,-0
Other Expense / Income,-1.39,-0.72,-0.24,-0.06,-0.01,-,-,-,-
Pretax Income,0.44,0.07,-0.15,-0.17,-0.34,-0,-0.01,-0,-0
Income Tax,0.3,0.14,0,0,0,0,0,0,0
Net Income,0.14,-0.06,-0.16,-0.17,-0.34,-0,-0.01,-0,-0
Shares Outstanding (Basic),22,22,22,22,6,5,6,3,3
Shares Outstanding (Diluted),22,22,22,22,6,5,6,3,3
Shares Change,235.49%,350.75%,279.53%,571.90%,115.84%,-,-,-,-
EPS (Basic),0.01,-,-0.01,-0.01,-0.05,-,-,-,-
EPS (Diluted),0.01,-,-0.01,-0.01,-0.05,-,-,-,-
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.01,-0.09,-,-,-,-
Effective Tax Rate,68.85%,186.01%,-,-,-,-,-,-,-
EBITDA,0.44,0.07,-0.15,-0.17,-0.34,-0,-0.01,-0,-0
EBIT,0.44,0.07,-0.15,-0.17,-0.34,-0,-0.01,-0,-0
