Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Revenue,207.9,169.66,274.19,308.64,503.31,705.03,923.76,779.91,"1,316.01","1,298.39","1,368.93","1,158.73",486.12,415.29
Revenue Growth (YoY),-58.69%,-75.94%,-70.32%,-60.43%,-61.75%,-45.70%,-32.52%,-32.69%,170.72%,212.65%,-,-,-,-
Cost of Revenue,158.41,179.86,238.28,330.57,399.15,453.45,498.71,520.14,650.71,544.76,475.28,369.37,266.7,271.05
Gross Profit,49.5,-10.21,35.91,-21.93,104.16,251.58,425.05,259.77,665.3,753.63,893.65,789.36,219.42,144.24
"Selling, General & Admin",98.13,106.76,136.24,134.15,160.66,186.33,191.67,172.07,170.93,151.68,122.8,103.99,96.83,96.38
Other Operating Expenses,14.86,16.72,24.46,62.8,32.06,32.05,31.57,35.93,35.07,38.1,31.41,25.25,22.62,22.78
Operating Expenses,112.99,123.48,160.71,196.95,192.71,218.38,223.24,208,206,189.78,154.21,129.25,119.45,119.16
Operating Income,-63.49,-133.69,-124.8,-218.88,-88.55,33.2,201.81,51.78,459.3,563.85,739.44,660.11,99.97,25.08
Interest Expense / Income,43.09,40.39,36.14,33.14,14.39,22.3,22.82,21.27,13.17,15.88,10.52,10.63,10.97,10.9
Other Expense / Income,-48.81,-80.49,-77.4,-122.89,-56.58,6.12,102.8,17.72,382.98,547.17,728.35,648.6,89,34.42
Pretax Income,-57.77,-93.59,-83.53,-129.12,-46.37,4.77,76.18,12.79,63.15,0.79,0.57,0.89,0,-20.24
Income Tax,-14.86,-16.32,-23.45,-28.2,-11.63,-3.84,24.71,4.23,18.28,0.79,0.57,0.89,0,-2.04
Net Income,-42.91,-77.27,-60.08,-100.93,-34.74,8.61,51.48,8.56,44.88,0,0,0,0,-18.21
Shares Outstanding (Basic),171,169,162,154,139,136,130,127,126,325,325,325,325,325
Shares Outstanding (Diluted),171,169,162,154,139,136,130,127,126,-,-,-,-,-
Shares Change,22.88%,23.89%,24.69%,21.38%,10.52%,-58.10%,-59.91%,-61.01%,-61.30%,-,-,-,-,-
EPS (Basic),-0.25,-0.46,-0.37,-0.66,-0.25,0.05,0.40,0.07,0.36,-,-,-,-,-
EPS (Diluted),-0.25,-0.46,-0.37,-0.66,-0.25,0.05,0.40,0.07,0.36,-,-,-,-,-
Free Cash Flow Per Share,1.17,0.24,10.68,9.80,8.16,4.28,1.52,-3.23,-15.04,-5.01,-3.50,1.66,0.50,-1.71
Dividend Per Share,-,-,-,0.080,-,0.160,-,0.692,-,-,-,-,-,-
Dividend Growth,-,-,-,-88.44%,-,-,-,-,-,-,-,-,-,-
Gross Margin,23.81%,-6.02%,13.10%,-7.10%,20.70%,35.68%,46.01%,33.31%,50.55%,58.04%,65.28%,68.12%,45.14%,34.73%
Operating Margin,-30.54%,-78.80%,-45.51%,-70.92%,-17.59%,4.71%,21.85%,6.64%,34.90%,43.43%,54.02%,56.97%,20.56%,6.04%
Profit Margin,-20.64%,-45.55%,-21.91%,-32.70%,-6.90%,1.22%,5.57%,1.10%,3.41%,-,-,-,-,-4.38%
Free Cash Flow Margin,95.76%,23.72%,632.85%,488.58%,225.34%,82.67%,21.43%,-52.40%,-143.77%,-125.30%,-83.08%,46.47%,33.16%,-134.06%
Effective Tax Rate,-,-,-,-,-,-80.41%,32.43%,33.04%,28.94%,100.00%,100.00%,100.00%,-,-
EBITDA,-1.27,-39.45,-31.32,-78.99,-15.83,42.47,113.03,48.44,90.67,31.04,26.62,26.77,26.52,9.28
EBITDA Margin,-0.61%,-23.25%,-11.42%,-25.59%,-3.15%,6.02%,12.24%,6.21%,6.89%,2.39%,1.94%,2.31%,5.45%,2.23%
Depreciation & Amortization,13.41,13.75,16.08,17,16.14,15.4,14.03,14.38,14.35,14.36,15.54,15.26,15.55,18.62
EBIT,-14.68,-53.2,-47.39,-95.98,-31.98,27.08,99.01,34.05,76.32,16.68,11.09,11.52,10.97,-9.34
EBIT Margin,-7.06%,-31.36%,-17.28%,-31.10%,-6.35%,3.84%,10.72%,4.37%,5.80%,1.28%,0.81%,0.99%,2.26%,-2.25%
