Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-06-30,2019-12-31
Revenue,17.24,3.96,9.86,16.85,18.31,35.08,18.1,21.49,16.1,-,9.82,-
Revenue Growth (YoY),-5.83%,-88.71%,-45.54%,-21.58%,13.71%,-,84.26%,-,-,-,-,-
Gross Profit,17.24,3.96,9.86,16.85,18.31,35.08,18.1,21.49,16.1,-,9.82,-
"Selling, General & Admin",12.89,12.29,12.65,11.53,11.79,11.44,10.94,8.37,9.41,-,7.94,-
Other Operating Expenses,2.49,3.48,12.76,5.04,16.26,4.42,3.8,5.27,3.51,0,2.49,0
Operating Expenses,15.38,15.77,25.42,16.57,28.06,15.85,14.73,13.64,12.92,-,10.44,-
Operating Income,1.86,-11.8,-15.56,0.28,-9.75,19.22,3.37,7.85,3.18,-,-0.61,-
Other Expense / Income,0.99,-,-,-,0.02,-,-,-,-,-,-,-
Pretax Income,0.88,-11.8,-15.56,0.28,-9.77,19.22,3.37,7.85,3.18,-,-0.61,-
Income Tax,0.55,-2.59,-0.82,-0.49,-2.95,4.25,1.32,1.91,0.73,-,-0.04,-
Net Income,0.33,-9.21,-14.74,0.77,-6.82,14.98,2.05,5.93,2.45,-,-0.57,-
Net Income Growth,-,-,-,-87.00%,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),23,23,23,23,22,17,17,17,17,17,17,17
Shares Outstanding (Diluted),23,23,23,23,22,17,17,17,17,-,17,-
Shares Change,7.38%,37.01%,36.54%,37.89%,31.26%,1.52%,1.14%,-3.78%,-,-,-,-
EPS (Basic),0.01,-0.40,-0.64,0.03,-0.31,0.90,0.12,0.35,0.15,-,-0.03,-
EPS (Diluted),0.01,-0.40,-0.64,0.03,-0.31,0.89,0.12,0.35,0.15,-,-0.03,-
EPS Growth,-,-,-,-91.43%,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,0.25,-0.19,-0.54,0.62,0.55,1.37,-0.06,0.52,1.29,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-,100.00%,-
Operating Margin,10.80%,-297.91%,-157.82%,1.68%,-53.27%,54.80%,18.62%,36.52%,19.78%,-,-6.22%,-
Profit Margin,1.92%,-232.56%,-149.50%,4.58%,-37.26%,42.70%,11.34%,27.61%,15.23%,-,-5.81%,-
Free Cash Flow Margin,34.29%,-113.33%,-125.93%,85.36%,64.61%,65.80%,-5.70%,40.31%,132.24%,-,-,-
Effective Tax Rate,62.26%,-,-,-172.44%,-,22.08%,39.11%,24.39%,22.99%,-,-,-
EBITDA,1.62,-8.91,-15.12,0.75,-9.3,19.81,4.02,8.48,3.79,-,-,-
EBITDA Margin,9.39%,-224.84%,-153.38%,4.45%,-50.81%,56.48%,22.19%,39.48%,23.52%,-,-,-
Depreciation & Amortization,0.74,2.9,0.44,0.47,0.47,0.59,0.65,0.64,0.6,-,-,-
EBIT,0.88,-11.8,-15.56,0.28,-9.77,19.22,3.37,7.85,3.18,-,-0.61,-
EBIT Margin,5.09%,-297.91%,-157.82%,1.68%,-53.36%,54.80%,18.62%,36.52%,19.78%,-,-6.22%,-
