Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-08
"Selling, General & Admin",0.3,0.23,0.21,0.31,0.43,0.33,0.36,0.01,0.03,-
Operating Expenses,0.3,0.23,0.21,0.31,0.43,0.33,0.36,0.01,0.03,-
Operating Income,-0.3,-0.23,-0.21,-0.31,-0.43,-0.33,-0.36,-0.01,-0.03,-
Other Expense / Income,-5.64,1.01,-3.02,-3.53,-8.84,3.67,-2.6,-,-,-
Pretax Income,5.33,-1.24,2.81,3.22,8.41,-4,2.23,-0.01,-0.03,-
Net Income,5.33,-1.24,2.81,3.22,8.41,-4,2.23,-0.01,-0.03,-
Net Income Growth,-36.55%,-,25.81%,-,-,-,-,-,-,-
Shares Outstanding (Basic),28,30,30,30,28,15,28,0,0,2
Shares Outstanding (Diluted),28,34,28,30,28,15,27,0,0,-
Shares Change,-,122.78%,6.90%,11797.80%,12192.02%,662.13%,-,-,-,-
EPS (Basic),0.18,-0.05,0.09,0.11,0.28,-0.33,0.08,-,-,-
EPS (Diluted),0.18,-0.05,0.09,0.11,0.28,-0.32,0.08,-,-,-
EPS Growth,-35.71%,-,12.50%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,0.00,-0.00,-0.00,-0.01,-0.01,-0.03,-,-,-
EBITDA,5.33,-1.24,2.81,3.22,8.41,-4,2.23,-0.01,-0.03,-
EBIT,5.33,-1.24,2.81,3.22,8.41,-4,2.23,-0.01,-0.03,-
