Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
"Selling, General & Admin",1.79,1.41,0.19,0.32,0.27,0.29,0.2,0.08,-,0
Other Operating Expenses,0.05,0.05,0.05,0.05,0.04,0.07,0.05,0.79,0,0
Operating Expenses,1.84,1.47,0.24,0.37,0.31,0.35,0.25,0.87,-,0
Operating Income,-1.84,-1.47,-0.24,-0.37,-0.31,-0.35,-0.25,-0.87,-,0
Other Expense / Income,-0.87,-0.98,-3.57,-6.31,-3.38,-2.12,3.68,-8.59,-,-
Pretax Income,-0.97,-0.48,3.33,5.94,3.08,1.77,-3.93,7.72,-,0
Income Tax,0.42,0.29,0.02,0,0,0,0,0,-,0
Net Income,-1.38,-0.77,3.31,5.94,3.08,1.77,-3.93,7.72,-,0
Net Income Growth,-,-,-,-23.04%,-,-,-,-,-,-
Shares Outstanding (Basic),29,35,35,35,35,35,35,31,5,5
Shares Outstanding (Diluted),29,35,35,35,35,35,35,31,-,5
Shares Change,-14.92%,-,-,12.34%,590.21%,590.00%,-,-,-,-
EPS (Basic),-0.04,-0.02,0.10,0.17,0.09,0.05,-0.11,0.25,-,-
EPS (Diluted),-0.04,-0.02,0.10,0.17,0.09,0.05,-0.11,0.25,-,-
EPS Growth,-,-,-,-32.00%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.03,-0.01,-,-0.01,-0.00,-0.01,-0.00,-0.02,-,-
Effective Tax Rate,-,-,0.63%,-,-,-,-,-,-,-
EBITDA,-0.97,-0.48,3.33,5.94,3.08,1.77,-3.93,7.72,-,0
EBIT,-0.97,-0.48,3.33,5.94,3.08,1.77,-3.93,7.72,-,0
