Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31
Revenue,19.62,21.08,17.79,14.8,16.01,17.76,15.04,14.69,13.96,17.27,14.32,14.62,10.31,15.48,14.51,14.55,14.98,12.9,12.96,12.14,13.16,13.01,11.93,11.41,11.84,11.62,11.42,11.01,10.82,-
Revenue Growth (YoY),22.57%,18.71%,18.34%,0.75%,14.67%,2.82%,5.01%,0.43%,35.46%,11.53%,-1.33%,0.52%,-31.20%,20.01%,11.96%,19.83%,13.84%,-0.79%,8.69%,6.43%,11.14%,11.92%,4.43%,3.62%,9.41%,-,-,-,-,-
Cost of Revenue,11.05,10.14,10.39,13.81,10.2,9.42,8.81,8.66,7.8,6.65,8.86,9.21,7.84,5.6,9.61,8.9,9.61,6.86,8.61,7.79,8,7.48,8.06,6.86,6.6,5.63,6.15,6.18,6.38,-
Gross Profit,8.57,10.94,7.41,0.99,5.81,8.34,6.22,6.02,6.16,10.62,5.46,5.42,2.46,9.89,4.9,5.65,5.37,6.04,4.35,4.35,5.16,5.52,3.86,4.54,5.24,5.99,5.27,4.83,4.44,-
"Selling, General & Admin",6.54,6.97,6.55,6.19,5.96,6.06,5.61,5.24,4.63,4.96,4.89,4.38,4.94,5.61,4.9,5.1,4.99,5.27,4.6,4.61,4.27,4.61,4.53,4.85,3.87,4.18,4.39,4.12,3.62,-
Operating Expenses,6.54,6.97,6.55,6.19,5.96,6.06,5.61,5.24,4.63,4.96,4.89,4.38,4.94,5.61,4.9,5.1,4.99,5.27,4.6,4.61,4.27,4.61,4.53,4.85,3.87,4.18,4.39,4.12,3.62,-
Operating Income,2.03,3.96,0.86,-5.2,-0.15,2.28,0.61,0.78,1.53,5.66,0.56,1.04,-2.48,4.27,0.01,0.55,0.38,0.76,-0.25,-0.26,0.89,0.91,-0.66,-0.31,1.37,1.81,0.87,0.71,0.82,-
Interest Expense / Income,0.05,0.05,0.05,0.04,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.05,0.06,0.06,0.05,0.09,0.05,0.05,0.04,-
Pretax Income,1.98,3.92,0.81,-5.24,-0.21,2.22,0.55,0.72,1.47,5.61,0.5,0.98,-2.51,4.24,-0.03,0.52,0.35,0.73,-0.29,-0.29,0.84,0.86,-0.73,-0.36,1.31,1.72,0.83,0.66,0.78,-
Income Tax,0.41,0.84,0.18,-1.11,-0.05,0.22,0.12,0.16,0.31,1.29,0.1,0.2,-0.54,0.66,-0.01,0.08,0.06,0.1,-0.08,-0.08,0.17,0.42,-0.38,-0.13,0.46,0.5,0.13,0.24,0.31,-
Net Income,1.58,3.08,0.63,-4.13,-0.16,1.99,0.42,0.56,1.16,4.32,0.4,0.78,-1.97,3.58,-0.01,0.44,0.29,0.63,-0.21,-0.21,0.68,0.44,-0.35,-0.24,0.85,1.22,0.69,0.42,0.47,-
Net Income Growth,-,54.35%,48.43%,-,-,-53.83%,5.02%,-28.04%,-,20.72%,-,76.88%,-,463.75%,-,-,-57.27%,43.34%,-,-,-20.40%,-63.86%,-,-,80.65%,-,-,-,-,-
Shares Outstanding (Basic),3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
Shares Outstanding (Diluted),3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-
Shares Change,-3.77%,-1.07%,-0.31%,0.57%,0.91%,0.76%,1.45%,0.93%,0.80%,0.93%,0.82%,0.84%,0.66%,0.99%,-3.88%,-5.22%,-5.46%,-5.79%,-0.58%,0.72%,0.77%,0.56%,0.16%,0.12%,-,-10.00%,-,-,-,-
EPS (Basic),0.54,1.00,0.21,-1.35,-0.05,0.66,0.14,0.18,0.38,1.43,0.13,0.26,-0.65,1.18,-,0.15,0.10,0.21,-0.07,-0.06,0.21,0.14,-0.12,-0.07,0.27,0.39,0.22,0.13,0.15,-
EPS (Diluted),0.53,1.00,0.20,-1.34,-0.05,0.65,0.14,0.18,0.38,1.42,0.13,0.26,-0.65,1.17,-,0.15,0.10,0.21,-0.07,-0.06,0.21,0.14,-0.12,-0.07,0.27,0.39,0.22,0.13,0.15,-
EPS Growth,-,53.85%,42.86%,-,-,-54.23%,7.69%,-30.77%,-,21.37%,-,73.33%,-,457.14%,-,-,-52.38%,50.00%,-,-,-22.22%,-64.10%,-,-,80.00%,-,-,-,-,-
Free Cash Flow Per Share,0.74,0.76,0.80,0.67,1.05,0.80,0.03,0.51,0.13,0.62,-0.41,0.18,0.02,1.59,-0.82,-0.41,0.35,0.82,0.52,0.90,-0.51,0.00,0.62,-0.32,-0.23,0.11,1.10,1.78,-1.79,-
