Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.2,0.23,0.33,0.51,0.28,0,0
Other Operating Expenses,0.02,0.05,0.05,0.05,0.12,1.7,0
Operating Expenses,0.22,0.28,0.38,0.56,0.39,1.7,0
Operating Income,-0.22,-0.28,-0.38,-0.56,-0.39,-1.7,-0
Other Expense / Income,-1.8,-0.95,-0.3,-0.02,-0.08,-,-
Pretax Income,1.59,0.66,-0.08,-0.54,-0.31,-1.7,-0
Income Tax,0.38,0.19,0.02,0,0,0,0
Net Income,1.21,0.47,-0.1,-0.54,-0.31,-1.7,-0
Shares Outstanding (Basic),23,26,26,26,10,5,5
Shares Outstanding (Diluted),23,26,26,26,10,5,5
Shares Change,138.53%,462.66%,462.66%,-,-,-,-
EPS (Basic),0.05,0.02,-,-0.02,0.16,-0.37,-
EPS (Diluted),0.05,0.02,-,-0.02,0.16,-0.37,-
EPS Growth,-68.75%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.01,-0.07,-,-
Effective Tax Rate,23.67%,28.36%,-,-,-,-,-
EBITDA,1.59,0.66,-0.08,-0.54,-0.31,-1.7,-0
EBIT,1.59,0.66,-0.08,-0.54,-0.31,-1.7,-0
