Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Revenue,91.28,56.99,55.62,54.99,46.21,39.7,119,30.61,31.76,33.14,24.6,25.52,-
Revenue Growth (YoY),97.54%,43.57%,-53.26%,79.62%,45.52%,19.77%,383.67%,19.98%,-,-,-,-,-
Cost of Revenue,-81.03,25.99,27.42,27.62,-70.33,15.2,43.15,11.99,-26.03,9.94,7.63,8.46,-
Gross Profit,172.32,31,28.2,27.36,116.54,24.5,75.85,18.63,57.79,23.21,16.97,17.05,-
"Selling, General & Admin",7.04,8.22,8.63,7.27,5.12,3,3.8,2.42,5.79,2.92,3.11,2.75,-
Operating Expenses,7.04,8.22,8.63,7.27,5.12,3,3.8,2.42,5.79,2.92,3.11,2.75,-
Operating Income,165.28,22.78,19.58,20.1,111.42,21.5,72.06,16.21,52,20.28,13.86,14.3,-
Interest Expense / Income,-1.89,0.42,-2.06,-4.58,-0.55,0.74,-0.16,0.26,0.16,0.43,0.13,-0.52,-
Other Expense / Income,118.36,7.93,6.08,2.17,96.88,0.09,-0.01,1.08,36.16,-0.68,-0.67,0.09,-
Pretax Income,48.81,14.42,15.57,22.51,15.09,20.67,72.22,14.87,15.68,20.54,14.4,14.73,-
Income Tax,2.3,2.2,-0.34,4.19,1.89,-0.86,-1.18,0.53,0.12,-0.09,0.54,2.57,-
Net Income,46.51,12.22,15.91,18.32,13.21,21.52,73.4,14.35,15.56,20.63,13.86,12.16,-
Net Income Growth,252.25%,-43.22%,-78.33%,27.67%,-15.13%,4.35%,429.51%,17.98%,-,-,-,-,-
Shares Outstanding (Basic),147,147,147,136,136,136,136,134,134,134,134,134,134
Shares Change,8.11%,8.11%,8.11%,1.87%,1.87%,1.87%,1.87%,-,-,-,-,-,-
EPS (Basic),0.32,0.08,-,-,0.09,0.16,-,0.10,0.13,0.18,-,0.10,-
EPS (Diluted),0.32,0.08,-,-,0.09,0.16,-,0.10,0.13,0.18,-,0.10,-
EPS Growth,247.25%,-47.47%,-,-,-31.58%,-10.23%,-,0.96%,-,-,-,-,-
Free Cash Flow Per Share,-0.04,0.35,0.03,0.18,0.20,0.34,-0.02,0.26,-0.04,0.29,-,0.14,-
Dividend Per Share,0.171,0.169,0.202,0.160,0.140,0.463,0.106,-,-,-,-,-,-
Dividend Growth,22.14%,-63.50%,90.57%,-,-,-,-,-,-,-,-,-,-
Gross Margin,188.77%,54.39%,50.70%,49.76%,252.19%,61.72%,63.74%,60.85%,181.97%,70.02%,68.98%,66.83%,-
Operating Margin,181.07%,39.96%,35.20%,36.54%,241.12%,54.16%,60.55%,52.94%,163.76%,61.20%,56.34%,56.04%,-
Profit Margin,50.96%,21.44%,28.60%,33.31%,28.58%,54.22%,61.68%,46.86%,49.00%,62.24%,56.34%,47.66%,-
Free Cash Flow Margin,-7.20%,90.31%,8.24%,45.21%,58.99%,118.39%,-2.41%,112.13%,-17.09%,118.19%,-0.10%,71.77%,-
Effective Tax Rate,4.70%,15.26%,-2.19%,18.63%,12.51%,-4.14%,-1.63%,3.53%,0.78%,-0.43%,3.72%,17.43%,-
EBITDA,52.66,19.99,18.62,23.12,17.43,23.34,74.04,17.09,17.75,22.9,16.38,16.19,-
EBITDA Margin,57.69%,35.08%,33.49%,42.04%,37.72%,58.80%,62.22%,55.81%,55.91%,69.09%,66.59%,63.44%,-
Depreciation & Amortization,5.75,5.15,5.12,5.19,2.89,1.93,1.98,1.96,1.92,1.94,1.86,1.98,-
EBIT,46.92,14.84,13.5,17.93,14.54,21.41,72.07,15.13,15.84,20.96,14.53,14.21,-
EBIT Margin,51.40%,26.05%,24.27%,32.60%,31.47%,53.93%,60.56%,49.42%,49.88%,63.25%,59.05%,55.68%,-
