Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.19,0.19,0.2,0.3,0.2,0.01,0.01
Operating Expenses,0.19,0.19,0.2,0.3,0.2,0.01,0.01
Operating Income,-0.19,-0.19,-0.2,-0.3,-0.2,-0.01,-0.01
Other Expense / Income,-2.36,-1.15,0.11,0.02,0.03,-,-
Pretax Income,2.17,0.96,-0.31,-0.32,-0.22,-0.01,-0.01
Net Income,2.17,0.96,-0.31,-0.32,-0.22,-0.01,-0.01
Shares Outstanding (Basic),35,35,35,35,10,6,6
Shares Outstanding (Diluted),35,35,35,35,10,6,6
Shares Change,263.16%,475.00%,475.00%,-,-,-,-
EPS (Basic),0.06,0.03,-0.01,-0.01,-0.02,-,-
EPS (Diluted),0.06,0.03,-0.01,-0.01,-0.02,-,-
Free Cash Flow Per Share,-0.00,-0.01,-0.00,-0.00,-0.09,-,-
EBITDA,2.17,0.96,-0.31,-0.32,-0.22,-0.01,-0.01
EBIT,2.17,0.96,-0.31,-0.32,-0.22,-0.01,-0.01
