Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2019-12-31
Revenue,169.6,142,142.6,125.2,129.1,99.5,98.5,91.6,90,56.7,51.3,-
Revenue Growth (YoY),31.37%,42.71%,44.77%,36.68%,43.44%,75.49%,92.01%,-,-,-,-,-
Cost of Revenue,13.8,12.2,11.7,8.2,7.7,7.2,7.5,7.3,6.5,5.8,5.1,-
Gross Profit,155.8,129.8,130.9,117,121.4,92.3,91,84.3,83.5,50.9,46.2,-
"Selling, General & Admin",137.1,101.9,118.6,104.1,109.2,75.1,65.7,91.5,77.5,43.5,27.5,-
Research & Development,19.5,19.4,20.7,20.1,17.4,18.6,16.6,14.8,12.2,13.4,13,-
Other Operating Expenses,0,0.6,0.4,1.8,3.9,8,2.4,0.7,7,-0.8,0,0
Operating Expenses,156.6,121.9,139.7,126,130.5,101.7,84.7,107,96.7,56.1,40.5,-
Operating Income,-0.8,7.9,-8.8,-9,-9.1,-9.4,6.3,-22.7,-13.2,-5.2,5.7,-
Interest Expense / Income,0.2,1.2,0.9,0.2,0.2,0.2,0.4,0.4,0.3,0.3,0.3,-
Other Expense / Income,-0.9,-0.9,-0.5,-0.1,-,-1.5,0.1,-1.3,0.1,0.1,-,-
Pretax Income,-0.1,7.6,-9.2,-9.1,-9.3,-8.1,5.8,-21.8,-13.6,-5.6,5.4,-
Income Tax,-1.8,-1.3,-9.9,0.2,1.2,-0.2,13.6,-7.9,-0.7,-2.2,-0.2,-
Net Income,1.7,8.9,0.7,-9.3,-10.5,-7.9,-7.8,-13.9,-12.9,-3.4,5.6,-
Shares Outstanding (Basic),76,75,73,67,67,60,50,49,49,47,44,42
Shares Outstanding (Diluted),80,75,75,67,67,60,50,49,49,58,56,-
Shares Change,19.13%,24.67%,50.60%,36.71%,37.94%,2.74%,-10.43%,17.10%,-,-,-,-
EPS (Basic),0.02,0.14,0.01,-0.14,-0.16,-0.12,-0.16,-0.28,-0.27,-0.08,0.16,-
EPS (Diluted),0.02,0.14,0.01,-0.14,-0.16,-0.12,-0.16,-0.28,-0.27,-0.07,0.13,-
Free Cash Flow Per Share,0.12,0.17,0.14,-0.35,-0.10,0.03,0.22,-0.40,-0.19,-0.18,0.14,-
Gross Margin,91.86%,91.41%,91.80%,93.45%,94.04%,92.76%,92.39%,92.03%,92.78%,89.77%,90.06%,-
Operating Margin,-0.47%,5.56%,-6.17%,-7.19%,-7.05%,-9.45%,6.40%,-24.78%,-14.67%,-9.17%,11.11%,-
Profit Margin,1.00%,6.27%,0.49%,-7.43%,-8.13%,-7.94%,-7.92%,-15.17%,-14.33%,-6.00%,10.92%,-
Free Cash Flow Margin,5.19%,8.94%,7.29%,-18.69%,-5.34%,2.01%,11.27%,-21.72%,-10.00%,-14.81%,11.70%,-
Effective Tax Rate,-,-17.11%,-,-,-,-,234.48%,-,-,-,-3.70%,-
EBITDA,11.8,20.2,2.5,-1.3,-1.9,-0.7,13.3,-14.8,-7.1,0.1,9.1,-
EBITDA Margin,6.96%,14.23%,1.75%,-1.04%,-1.47%,-0.70%,13.50%,-16.16%,-7.89%,0.18%,17.74%,-
Depreciation & Amortization,11.7,11.4,10.8,7.6,7.2,7.2,7.1,6.6,6.2,5.4,3.4,-
EBIT,0.1,8.8,-8.3,-8.9,-9.1,-7.9,6.2,-21.4,-13.3,-5.3,5.7,-
EBIT Margin,0.06%,6.20%,-5.82%,-7.11%,-7.05%,-7.94%,6.29%,-23.36%,-14.78%,-9.35%,11.11%,-
