Metrics,2022-09-30,2022-06-30,2021-12-31,2021-09-30,2021-06-30,2020-12-31
"Selling, General & Admin",0.26,-0,-,0,0,-
Operating Expenses,0.26,-0,-,0,0,-
Operating Income,-0.26,0,-,-0,0,-
Other Expense / Income,-0.05,0,-,-,-,-
Pretax Income,-0.21,0,-,-0,0,-
Net Income,-0.21,0,-,-0,0,-
Shares Outstanding (Basic),3,2,2,2,2,2
Shares Outstanding (Diluted),3,2,-,2,2,-
Shares Change,35.22%,-,-,-,-,-
EPS (Basic),-0.08,-,-,-,-,-
EPS (Diluted),-0.08,-,-,-,-,-
Free Cash Flow Per Share,-0.05,-,-,-,-,-
EBITDA,-0.21,-,-,-0,-,-
EBIT,-0.21,0,-,-0,0,-
