Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Revenue,68.76,74.95,75.8,72.64,68.31,75.33,65.75,74.23,66.62,68.01,61.72,57.14,47.53,53.62,50.67,47.51,47.99,49,44.37,44.07,41.6,38.26,31.42,40.03,40.16,38.91
Revenue Growth (YoY),0.66%,-0.50%,15.29%,-2.15%,2.54%,10.75%,6.53%,29.91%,40.17%,26.85%,21.79%,20.29%,-0.96%,9.41%,14.20%,7.81%,15.34%,28.07%,41.22%,10.07%,3.59%,-1.67%,-,-,-,-
Gross Profit,68.76,74.95,75.8,72.64,68.31,75.33,65.75,74.23,66.62,68.01,61.72,57.14,47.53,53.62,50.67,47.51,47.99,49,44.37,44.07,41.6,38.26,31.42,40.03,40.16,38.91
"Selling, General & Admin",37.6,36.93,38.27,35.1,32.08,33.69,30.02,29.08,29.18,29.76,31.97,30.37,30.4,26.18,26.53,26.23,25.44,28.16,23.34,23.76,23.26,21.01,22.03,20.47,20.66,19.47
Other Operating Expenses,6.3,7.57,9.57,6.62,8.67,7.58,7.03,8.53,7.78,9.9,9.41,7.08,8.1,10.06,4.54,5.62,4.12,2.86,3.25,38.01,2.76,4.59,7.69,4.36,4.2,4.58
Operating Expenses,43.9,44.51,47.84,41.72,40.75,41.26,37.05,37.61,36.96,39.65,41.38,37.44,38.51,36.24,31.06,31.84,29.56,31.01,26.59,61.77,26.02,25.6,29.71,24.83,24.86,24.05
Operating Income,24.86,30.44,27.96,30.92,27.56,34.06,28.69,36.62,29.65,28.36,20.34,19.7,9.02,17.38,19.61,15.67,18.43,17.99,17.78,-17.7,15.59,12.66,1.71,15.21,15.31,14.86
Other Expense / Income,-,-,-,-,-,2.11,-,-,0.74,1.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pretax Income,24.86,30.44,27.96,30.92,27.56,31.95,28.69,36.62,28.91,27.2,20.34,19.7,9.02,17.38,19.61,15.67,18.43,17.99,17.78,-17.7,15.59,12.66,1.71,15.21,15.31,14.86
Income Tax,6.14,8.55,7.04,7.96,7.16,8.62,7.71,9.93,7.87,6.55,5.25,4.6,2.25,3.83,5.39,3.63,3.51,3.12,6.96,-2.96,3.81,8.98,0.2,5.93,5.01,4.87
Net Income,18.72,21.89,20.92,22.96,20.4,23.33,20.98,26.69,21.05,20.65,15.09,15.1,6.77,13.55,14.22,12.03,14.92,14.87,10.83,-14.74,11.78,3.68,1.51,9.27,10.29,9.99
Net Income Growth,-8.24%,-6.18%,-0.30%,-13.97%,-3.05%,12.98%,39.07%,76.78%,211.09%,52.44%,6.11%,25.48%,-54.66%,-8.87%,31.32%,-,26.60%,304.21%,615.60%,-,14.47%,-63.19%,-,-,-,-
Shares Outstanding (Basic),105,106,107,106,103,103,103,105,106,108,111,111,108,110,111,112,112,111,111,111,101,101,101,-,-,-
Shares Outstanding (Diluted),105,107,108,107,104,103,103,105,106,108,111,111,108,110,111,112,112,111,111,111,-,-,-,-,-,-
Shares Change,1.36%,3.38%,4.43%,2.12%,-2.11%,-4.91%,-7.21%,-5.91%,-2.27%,-1.32%,-0.35%,-0.40%,-2.78%,-1.34%,-0.02%,0.17%,10.68%,10.59%,10.54%,-,-,-,-,-,-,-
EPS (Basic),0.18,0.21,0.20,0.22,0.20,0.22,0.20,0.26,0.20,0.18,0.14,0.14,0.06,0.12,0.13,0.11,0.13,0.13,0.10,-0.13,-,-,-,-,-,-
EPS (Diluted),0.18,0.20,0.19,0.22,0.20,0.22,0.20,0.26,0.20,0.18,0.14,0.14,0.06,0.12,0.13,0.11,0.13,0.13,0.10,-0.13,-,-,-,-,-,-
EPS Growth,-10.00%,-9.09%,-5.00%,-15.38%,0%,22.22%,42.86%,85.71%,233.33%,50.00%,7.69%,27.27%,-53.85%,-7.69%,30.00%,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.05,0.27,0.33,0.39,0.31,0.30,-0.05,-0.96,1.60,0.37,0.04,0.09,-0.09,-0.11,0.24,-0.28,0.17,0.05,0.13,0.14,0.08,-0.00,0.07,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,36.16%,40.61%,36.89%,42.56%,40.35%,45.22%,43.64%,49.33%,44.52%,41.70%,32.96%,34.47%,18.97%,32.42%,38.70%,32.97%,38.40%,36.71%,40.08%,-40.17%,37.47%,33.09%,5.44%,37.98%,38.11%,38.19%
Profit Margin,27.23%,29.21%,27.60%,31.61%,29.87%,30.98%,31.91%,35.95%,31.59%,30.37%,24.45%,26.42%,14.23%,25.27%,28.06%,25.33%,31.09%,30.34%,24.40%,-33.46%,28.32%,9.61%,4.82%,23.16%,25.63%,25.68%
Free Cash Flow Margin,-7.76%,37.85%,46.14%,56.98%,46.83%,41.34%,-8.26%,-135.36%,254.98%,58.87%,6.58%,18.33%,-21.37%,-22.87%,53.09%,-64.62%,38.63%,11.21%,31.29%,35.94%,19.50%,-0.84%,22.22%,27.63%,6.30%,23.02%
Effective Tax Rate,24.69%,28.08%,25.18%,25.74%,25.96%,26.97%,26.88%,27.13%,27.21%,24.07%,25.82%,23.37%,24.98%,22.04%,27.50%,23.20%,19.03%,17.36%,39.12%,-,24.41%,70.95%,11.47%,39.02%,32.75%,32.75%
EBITDA,28.37,33.92,31.45,34.28,30.58,34.88,31.59,39.56,31.8,29.11,23.47,22.21,11.83,19.09,20.78,16.75,19.46,18.99,18.7,-16.77,16.49,13.55,2.47,16.23,16.13,15.72
EBITDA Margin,41.25%,45.26%,41.49%,47.19%,44.77%,46.31%,48.04%,53.29%,47.73%,42.80%,38.03%,38.87%,24.89%,35.60%,41.01%,35.25%,40.56%,38.76%,42.14%,-38.05%,39.63%,35.40%,7.85%,40.55%,40.16%,40.40%
Depreciation & Amortization,3.5,3.48,3.49,3.36,3.02,2.93,2.89,2.94,2.88,1.91,3.13,2.51,2.81,1.71,1.17,1.08,1.04,1,0.91,0.94,0.9,0.89,0.76,1.03,0.82,0.86
EBIT,24.86,30.44,27.96,30.92,27.56,31.95,28.69,36.62,28.91,27.2,20.34,19.7,9.02,17.38,19.61,15.67,18.43,17.99,17.78,-17.7,15.59,12.66,1.71,15.21,15.31,14.86
EBIT Margin,36.16%,40.61%,36.89%,42.56%,40.35%,42.42%,43.64%,49.33%,43.40%,40.00%,32.96%,34.47%,18.97%,32.42%,38.70%,32.97%,38.40%,36.71%,40.08%,-40.17%,37.47%,33.09%,5.44%,37.98%,38.11%,38.19%
