Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30
Revenue,38.85,38.38,42.53,41.73,40.67,42.22,43.68,40.21,37.89,39.72,36.02,26.43,20.81,24.41,24.33,21.78,18.72,17.86,18.24,17.83,17.95,14.74,17.22
Revenue Growth (YoY),-4.46%,-9.09%,-2.65%,3.77%,7.32%,6.29%,21.28%,52.17%,82.06%,62.71%,48.01%,21.32%,11.21%,36.70%,33.43%,22.15%,4.27%,21.11%,5.92%,-,-,-,-
Gross Profit,38.85,38.38,42.53,41.73,40.67,42.22,43.68,40.21,37.89,39.72,36.02,26.43,20.81,24.41,24.33,21.78,18.72,17.86,18.24,17.83,17.95,14.74,17.22
"Selling, General & Admin",20.81,20.58,20.7,20.87,21.25,22.86,22.15,21.36,19.84,20.01,18.78,15.92,13.34,14.3,15.13,13.46,11.64,10.83,11.64,11.17,11.49,11.2,9.46
Other Operating Expenses,5.39,6.15,7.4,6.26,5.85,5.66,6.48,5.85,5.93,6.67,5.67,3.98,3.46,3.46,3.1,2.75,2.69,2.26,2.27,2.36,2.11,2.13,2.78
Operating Expenses,26.2,26.74,28.09,27.13,27.1,28.52,28.63,27.21,25.77,26.68,24.45,19.91,16.8,17.76,18.23,16.21,14.33,13.1,13.9,13.53,13.6,13.33,12.24
Operating Income,12.65,11.64,14.43,14.6,13.57,13.69,15.05,13.01,12.13,13.04,11.57,6.52,4.01,6.65,6.11,5.57,4.39,4.76,4.34,4.3,4.35,1.42,4.98
Pretax Income,12.65,11.64,14.43,14.6,13.57,13.69,15.05,13.01,12.13,13.04,11.57,6.52,4.01,6.65,6.11,5.57,4.39,4.76,4.34,4.3,4.35,1.42,4.98
Income Tax,2.92,2.65,3.34,3.09,3.35,3.52,3.88,3.36,3.14,3.35,3.13,1.76,1.08,1.58,1.63,1.55,1.07,1.28,1.19,1.16,1.36,2.06,1.94
Net Income,9.74,8.99,11.1,11.51,10.21,10.17,11.18,9.65,8.98,9.69,8.44,4.76,2.93,5.07,4.48,4.02,3.32,3.49,3.15,3.15,2.99,-0.64,3.04
Net Income Growth,-4.66%,-11.61%,-0.73%,19.28%,13.68%,4.97%,32.46%,102.65%,206.13%,91.03%,88.31%,18.34%,-11.60%,45.54%,42.39%,27.92%,11.00%,-,3.66%,-,-,-,-
Shares Outstanding (Basic),14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,11,11
Shares Outstanding (Diluted),14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,12,11
Shares Change,-0.46%,3.36%,1.03%,0.99%,3.16%,2.11%,3.15%,2.57%,-1.25%,-2.86%,-1.37%,-0.69%,1.43%,2.61%,15.56%,16.00%,15.97%,19.07%,5.34%,-,-,-,-
EPS (Basic),0.69,0.64,0.79,0.82,0.73,0.74,0.81,0.70,0.65,0.70,0.61,0.34,0.21,0.37,0.33,0.30,0.24,0.25,0.27,0.27,0.26,-0.06,0.27
EPS (Diluted),0.68,0.62,0.77,0.80,0.71,0.73,0.79,0.68,0.65,0.70,0.61,0.34,0.21,0.36,0.32,0.29,0.24,0.25,0.26,0.26,0.25,-0.06,0.26
EPS Growth,-4.23%,-15.07%,-2.53%,17.65%,9.23%,4.29%,29.51%,100.00%,209.52%,94.44%,90.63%,17.24%,-12.50%,44.00%,23.08%,11.54%,-4.00%,-,0%,-,-,-,-
Free Cash Flow Per Share,0.57,0.39,1.11,1.40,0.65,2.14,1.95,1.51,3.97,3.03,-0.64,-2.20,0.22,0.46,-1.06,-1.55,0.14,0.71,0.21,0.16,1.08,0.54,0.39
Dividend Per Share,0.060,0.060,0.060,0.050,0.050,0.050,0.050,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Growth,20.00%,20.00%,20.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,32.56%,30.33%,33.94%,34.98%,33.36%,32.44%,34.46%,32.34%,32.00%,32.82%,32.11%,24.67%,19.29%,27.25%,25.09%,25.58%,23.43%,26.66%,23.78%,24.13%,24.23%,9.62%,28.91%
